Cell_type_in_merged_data,reclustered.fine,reclustered.broad,nCount_RNA,percent.mito,Cell_type_in_each_tissue
T Cell GZMK,TEM_INFG,CD8,2012,0.046222664,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1853,0.05288721,Monocyte Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,2898,0.096273292,Macrophage LST1_high Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,3777,0.069896743,Hepatic Oval Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,2881,0.041999306,Endothelial Cell SELE_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1456,0.07967033,Macrophage LST1_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,4120,0.062378641,Monocyte Liver
T Cell GZMK,NA,NA,2435,0.090759754,T GD Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,3072,0.096028646,Monocyte Liver
B Cell CD79A,Memory_B_HSPA8,B_and_plasma,1126,0.055950266,B Cell Liver
Endothelial Cell ACKR1,BEC_RTEL1-TNFRSF6B,Endothelial_cell,2529,0.04310004,Endothelial Cell SLC9A3R2_high Liver
Monocyte,Mac_SDC3,Myeloid,3660,0.105191257,Macrophage LST1_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,4396,0.034576888,Lymphatic Endothelial Cell Liver
T Cell XCL1,TRM_TNF,CD4,2502,0.045563549,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3860,0.041450777,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,2056,0.024319066,CD8 T Cell TRBV4-2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5647,0.072250753,Macrophage C1QB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,3426,0.078225336,Macrophage LST1_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,5183,0.033571291,Endothelial Cell SELE_high Liver
T Cell GZMK,TEM_INFG,CD8,1143,0.070866142,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3416,0.067622951,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4554,0.053798858,Macrophage C1QB_high Liver
T Cell GZMK,TRM_TYMS,CD8,4948,0.053961196,High Proliferation CD8 T Cell Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,7718,0.19098212,Hepatic Oval Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,5516,0.05728789,Macrophage LST1_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,6117,0.070622854,Macrophage LST1_high Liver
T Cell XCL1,TEFF_MT1E,CD8,3492,0.01489118,T Cell MT1E_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5372,0.085070737,Macrophage C1QB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,3484,0.072904707,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7637,0.056828598,Macrophage C1QB_high Liver
T Cell GZMK,NA,NA,2694,0.078322197,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4107,0.068906745,Monocyte Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,5142,0.113574485,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1133,0.093556929,Monocyte Liver
T Cell XCL1,TRM_H2AFZ,CD8,1473,0.057026477,T Cell LTB_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,6858,0.090259551,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,9633,0.047441088,Macrophage C1QB_high Liver
T Cell IL7R,TRM_TNF,CD4,2209,0.033499321,T Cell LTB_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,2912,0.060782967,CD8 T Cell GZMK_high Liver
Monocyte,Mac_SDC3,Myeloid,8181,0.052071874,Macrophage LST1_high Liver
Monocyte,Mac_SDC3,Myeloid,2238,0.088025022,Macrophage LST1_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2385,0.129979036,Monocyte Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2531,0.1050968,Monocyte Liver
T Cell GZMK,NA,NA,3101,0.04579168,High Proliferation CD8 T Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,5481,0.064404306,Macrophage LST1_high Liver
T Cell IL7R,TRM_TNF,CD4,5227,0.042471781,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7216,0.087444568,Macrophage C1QB_high Liver
Endothelial Cell ACKR1,BEC_IGFBP3,Endothelial_cell,5261,0.010644364,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_S100A8,Myeloid,4385,0.03990878,Monocyte Liver
NK/T Cell GNLY,NA,NA,1260,0.034920635,NK/T Cell Liver
T Cell GZMK,TEM_GIMAP4,CD8,3748,0.025346852,CD8 T Cell GZMK_high Liver
Macrophage C1QB,cDC2,Myeloid,9061,0.04315197,Macrophage C1QB_high Liver
T Cell XCL1,TRM_MT1E,CD4,1659,0.056660639,T Cell MT1E_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,3005,0.044592346,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4784,0.034280936,Macrophage C1QB_high Liver
T Cell GZMK,TRM_TYMS,CD8,7228,0.039568345,High Proliferation CD8 T Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2126,0.053151458,Monocyte Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,4913,0.042743741,Endothelial Cell SELE_high Liver
T Cell GZMK,TEM_INFG,CD8,1784,0.045403587,CD8 T Cell TRBV4-2_high Liver
NK/T Cell GNLY,NA,NA,1427,0.059565522,NK/T Cell Liver
Plasma Cell JCHAIN,Plasma_IGLV3-1,B_and_plasma,15984,0.020332833,B Cell Liver
Monocyte,Classical_Mon_HCAR3,Myeloid,1421,0.104152006,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1332,0.083333333,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5689,0.064158903,Monocyte Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,6050,0.039173554,Macrophage LST1_high Liver
T Cell XCL1,TEM_INFG,CD8,1055,0.091943128,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,NA,NA,2314,0.049697494,NK/T Cell Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,3013,0.036176568,CD8 T Cell TRBV4-2_high Liver
Endothelial Cell ACKR1,BEC_IGFBP3,Endothelial_cell,3855,0.01997406,Endothelial Cell SLC9A3R2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,8438,0.042545627,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,1228,0.048045603,CD8 T Cell GZMK_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,5234,0.04107757,Lymphatic Endothelial Cell Liver
B Cell CD79A,Plasma_IGKV3-20,B_and_plasma,1955,0.072634271,B Cell Liver
T Cell IL7R,TN/CM_ITGB1,CD4,1731,0.05372617,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5022,0.079649542,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1004,0.080677291,Monocyte Liver
NK/T Cell GNLY,NA,NA,1688,0.068127962,NK/T Cell Liver
T Cell GZMK,TEM_INFG,CD8,2395,0.051356994,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,1082,0.1987061,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1713,0.058960887,CD8 T Cell TRBV4-2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5108,0.076155051,Macrophage C1QB_high Liver
Macrophage C1QB,Classical_Mon_AQP9,Myeloid,4643,0.051690717,Macrophage LST1_high Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,6408,0.10127965,Hepatic Oval Cell Liver
T Cell GZMK,TEM_GIMAP4,CD8,1557,0.033397559,CD8 T Cell GZMK_high Liver
T Cell XCL1,TEM_INFG,CD8,1492,0.032171582,CD8 T Cell TRBV4-2_high Liver
T Cell IL7R,Treg_CTLA4,CD4,2156,0.045918367,T Cell LTB_high Liver
T Cell GZMK,TEM_INFG,CD8,1877,0.034629728,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4833,0.071384233,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2384,0.132550336,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,1459,0.077450308,NK/T Cell Liver
T Cell GZMK,TRM_TYMS,CD8,7457,0.049886013,High Proliferation CD8 T Cell Liver
T Cell GZMK,NA,NA,1898,0.041622761,T GD Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,7815,0.031605886,Endothelial Cell SELE_high Liver
T Cell GZMK,TEFF_MT1E,CD8,1897,0.079599367,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2516,0.103338633,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1958,0.081205312,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5121,0.067760203,Macrophage LST1_high Liver
Monocyte,Classical_Mon_HCAR3,Myeloid,1567,0.088066369,Monocyte Liver
Monocyte,Classical_Mon_S100A8,Myeloid,2231,0.047512326,Monocyte Liver
Endothelial Cell ACKR1,BEC_ACKR1,Endothelial_cell,5126,0.020873976,Endothelial Cell SELE_high Liver
T Cell GZMK,NA,NA,2543,0.043649233,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4659,0.05537669,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,8047,0.049832236,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,3416,0.067622951,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2418,0.066997519,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,10441,0.070108227,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3735,0.065595716,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1731,0.083766609,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1712,0.070093458,Macrophage C1QB_high Liver
T Cell GZMK,NA,NA,1891,0.089370703,T GD Cell Liver
T Cell IL7R,TN_LINC00861,CD4,2476,0.037156704,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4720,0.067161017,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1311,0.067124333,CD8 T Cell GZMK_high Liver
T Cell XCL1,TEM_GZMK,CD8,1188,0.050505051,CD8 T Cell GZMK_high Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,1966,0.036622584,Lymphatic Endothelial Cell Liver
NK/T Cell GNLY,NA,NA,1414,0.048090523,NK/T Cell Liver
T Cell GZMK,TEM_INFG,CD8,1426,0.027349229,CD8 T Cell GZMK_high Liver
T Cell XCL1,MAIT_SLC4A10,CD8,2005,0.050872818,T Cell LTB_high Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,1083,0.195752539,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,4998,0.052220888,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1509,0.068257124,CD8 T Cell GZMK_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,3703,0.042668107,Lymphatic Endothelial Cell Liver
T Cell XCL1,TEM_INFG,CD8,1461,0.095824778,CD8 T Cell GZMK_high Liver
T Cell XCL1,TCM_KLF2,CD4,1131,0.097259063,CD8 T Cell GZMK_high Liver
T Cell XCL1,TEM_INFG,CD8,1823,0.06911684,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,NA,NA,1583,0.049905243,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3826,0.101411396,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1289,0.180760279,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1616,0.060643564,Monocyte Liver
Monocyte,Classical_Mon_S100A8,Myeloid,1872,0.124465812,Macrophage LST1_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1919,0.102136529,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1888,0.089512712,CD8 T Cell GZMK_high Liver
Monocyte,Mac_SDC3,Myeloid,1547,0.210084034,Monocyte Liver
T Cell GZMK,TEFF_MT1E,CD8,4714,0.080610946,High Proliferation CD8 T Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4061,0.07387343,Macrophage LST1_high Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,4692,0.109761296,Hepatic Oval Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2648,0.091767372,Monocyte Liver
T Cell GZMK,TEM_GIMAP4,CD8,1215,0.070781893,CD8 T Cell GZMK_high Liver
T Cell GZMK,NA,NA,3185,0.072841444,T GD Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,8261,0.071904128,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,1783,0.06505889,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1642,0.065773447,Monocyte Liver
NK/T Cell GNLY,NA,NA,1200,0.045,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,2972,0.059892328,Macrophage LST1_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3364,0.080261593,Monocyte Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1685,0.102670623,Monocyte Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,5983,0.042787899,Lymphatic Endothelial Cell Liver
T Cell IL7R,TN/CM_LEF1,CD8,1576,0.056472081,T Cell LTB_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2043,0.143416544,Monocyte Liver
NK/T Cell GNLY,Th1_NKG7,CD4,3214,0.033291848,NK/T Cell Liver
T Cell IL7R,TRM_TNF,CD4,1880,0.031382979,T Cell LTB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,3251,0.078437404,Macrophage LST1_high Liver
Macrophage C1QB,Mac_APOE,Myeloid,3639,0.092058258,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5916,0.049188641,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7301,0.049856184,Macrophage C1QB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,1698,0.105418139,Macrophage LST1_high Liver
Smooth Muscle Cell,Smo_CREM_high,FibSmo,3211,0.107131735,Smooth Muscle Cell Liver
B Cell CD79A,Naive_B_ly_TCL1A,B_and_plasma,1403,0.047754811,B Cell Liver
T Cell GZMK,TEM_INFG,CD8,2040,0.027941176,CD8 T Cell GZMK_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,4699,0.066822728,Lymphatic Endothelial Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,3425,0.052262774,Endothelial Cell SELE_high Liver
T Cell GZMK,NA,NA,2920,0.041438356,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3265,0.089433384,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,3062,0.030372306,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5558,0.063871896,Macrophage C1QB_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,8428,0.022781206,Lymphatic Endothelial Cell Liver
T Cell IL7R,TRM_TNF,CD4,2914,0.048730268,T Cell LTB_high Liver
Monocyte,Mac_SDC3,Myeloid,4312,0.075602968,Macrophage LST1_high Liver
T Cell XCL1,TEM_INFG,CD8,1494,0.10107095,CD8 T Cell TRBV4-2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2867,0.106731775,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1823,0.080636314,Monocyte Liver
NK/T Cell GNLY,NA,NA,1570,0.056050955,NK/T Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,2972,0.028600269,Lymphatic Endothelial Cell Liver
T Cell XCL1,NA,NA,1752,0.034817352,T Cell LTB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,3794,0.047443332,Macrophage LST1_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,2146,0.096458527,Endothelial Cell SELE_high Liver
T Cell GZMK,TEM_INFG,CD8,1861,0.060182697,CD8 T Cell TRBV4-2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4614,0.05136541,Macrophage C1QB_high Liver
B Cell CD79A,Memory_B_HSPA8,B_and_plasma,2059,0.067508499,B Cell Liver
T Cell GZMK,NA,NA,2044,0.051369863,T GD Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,4706,0.052061198,Lymphatic Endothelial Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,5880,0.054591837,Lymphatic Endothelial Cell Liver
T Cell XCL1,TRM_TNF,CD4,1728,0.046296296,T Cell MT1E_high Liver
T Cell XCL1,TEM_INFG,CD8,1640,0.123780488,CD8 T Cell TRBV4-2_high Liver
Endothelial Cell FABP4,BEC_IGFBP3,Endothelial_cell,3150,0.033015873,Endothelial Cell SLC9A3R2_high Liver
T Cell GZMK,TEM_INFG,CD8,3146,0.051176097,CD8 T Cell TRBV4-2_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,6211,0.064884882,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_GIMAP4,CD8,1418,0.05077574,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,NA,NA,2158,0.051436515,NK/T Cell Liver
T Cell GZMK,MAIT_SLC4A10,CD8,2916,0.052469136,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2701,0.176601259,Macrophage C1QB_high Liver
T Cell GZMK,NA,NA,1642,0.067600487,T GD Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,2449,0.045732952,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4603,0.03410819,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,1162,0.058519793,NK/T Cell Liver
T Cell XCL1,TEM_INFG,CD8,1528,0.068062827,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1482,0.029689609,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,8326,0.044198895,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2827,0.12663601,Macrophage C1QB_high Liver
T Cell GZMK,NA,NA,2432,0.041940789,T GD Cell Liver
T Cell GZMK,TEM_INFG,CD8,1173,0.0571185,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,3244,0.099876695,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1555,0,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1021,0.067580803,CD8 T Cell GZMK_high Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,5991,0.098981806,Hepatic Oval Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4116,0.078474247,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3663,0.051597052,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4311,0.078868012,Macrophage C1QB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,3425,0.065109489,Endothelial Cell SELE_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,3142,0.071928708,Macrophage LST1_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,6523,0.045991108,Lymphatic Endothelial Cell Liver
T Cell XCL1,TEM_GZMK,CD8,2248,0.248220641,CD8 T Cell GZMK_high Liver
Lymphatic Endothelial Cell,LEC_FCN3,Endothelial_cell,1025,0.025365854,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_INFG,CD8,1808,0.040376106,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,3943,0.05833122,Macrophage LST1_high Liver
T Cell GZMK,TEM_INFG,CD8,1115,0.087892377,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,3143,0.0769965,Monocyte Liver
T Cell GZMK,MAIT_SLC4A10,CD8,2162,0.039777983,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1033,0.10551790899999999,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5360,0.086753731,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,5106,0.063650607,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1540,0.053246753,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1102,0.092558984,Monocyte Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,2308,0.092287695,Endothelial Cell SELE_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,6007,0.054436491,Monocyte Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4452,0.058400719,Macrophage LST1_high Liver
Smooth Muscle Cell,Smo_CREM_high,FibSmo,2824,0.090651558,Smooth Muscle Cell Liver
Cholangiocyte,Cholangiocyte FXYD2_high,Epithelial_cells,7451,0.198228426,Hepatic Oval Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,5576,0.035150646,Lymphatic Endothelial Cell Liver
T Cell GZMK,MAIT_SLC4A10,CD8,1287,0.060606061,T Cell LTB_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,4238,0.055214724,Monocyte Liver
Monocyte,Classical_Mon_S100A8,Myeloid,1614,0.092317224,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,10719,0.068010076,Macrophage C1QB_high Liver
T Cell IL7R,TEM_INFG,CD8,2090,0.033492823,T Cell LTB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,4795,0.034827946,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3637,0.048941435,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,12788,0.041601501,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2055,0.070072993,Monocyte Liver
T Cell XCL1,TRM_TNF,CD4,1215,0.049382716,T Cell LTB_high Liver
T Cell GZMK,TEM_INFG,CD8,1034,0.057059961,CD8 T Cell GZMK_high Liver
T Cell GZMK,NA,NA,2249,0.046687417,T GD Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,4311,0.059382974,Monocyte Liver
NK/T Cell GNLY,NA,NA,1343,0.055100521,NK/T Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,2575,0.086601942,Endothelial Cell SELE_high Liver
T Cell XCL1,TEM_INFG,CD8,1184,0.029560811,CD8 T Cell GZMK_high Liver
T Cell XCL1,TN/CM_GADD45B,CD8,1564,0.04859335,T Cell LTB_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,1599,0.089430894,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,TEM_INFG,CD8,1502,0.068575233,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,2227,0.044454423,Monocyte Liver
Macrophage C1QB,Intermediate_Mon_FN1,Myeloid,4065,0.09102091,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1165,0.068669528,Macrophage C1QB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,4282,0.02078468,Endothelial Cell SELE_high Liver
T Cell IL7R,TRM_TNF,CD4,2563,0.035505267,T Cell LTB_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,3130,0.030670927,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_INFG,CD8,2270,0.059911894,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5786,0.063774628,Macrophage C1QB_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,2415,0.057142857,CD8 T Cell TRBV4-2_high Liver
T Cell XCL1,TEM_INFG,CD8,1200,0.0875,CD8 T Cell TRBV4-2_high Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,2890,0.092733564,Lymphatic Endothelial Cell Liver
T Cell XCL1,TEFF_TRBV4-2,CD8,1435,0.11358885,CD8 T Cell TRBV4-2_high Liver
Endothelial Cell ACKR1,BEC_IGFBP3,Endothelial_cell,1713,0.036193812,Endothelial Cell SLC9A3R2_high Liver
T Cell XCL1,TRM_MT1E,CD4,2359,0.028825774,T Cell MT1E_high Liver
T Cell XCL1,TEM_INFG,CD8,1235,0.086639676,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1728,0.035300926,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,9619,0.046678449,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,6690,0.072047833,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1612,0.073200993,Macrophage C1QB_high Liver
B Cell CD79A,Memory_B_HSPA8,B_and_plasma,2181,0.055937643,B Cell Liver
NK/T Cell GNLY,NA,NA,1346,0.043090639,NK/T Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,2618,0.043926662,Macrophage LST1_high Liver
T Cell GZMK,TEM_INFG,CD8,1419,0.044397463,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,2294,0.042720139,CD8 T Cell TRBV4-2_high Liver
NK/T Cell GNLY,NA,NA,1547,0.042663219,NK/T Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2137,0.059897052,Monocyte Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,1587,0.148708255,Lymphatic Endothelial Cell Liver
T Cell XCL1,TEM_GZMK,CD8,1707,0.041593439,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4159,0.0617937,Macrophage LST1_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1980,0.091414141,Monocyte Liver
T Cell IL7R,TN/CM_ITGB1,CD4,1787,0.041410185,T Cell LTB_high Liver
T Cell XCL1,TRM_PRR4,CD8,3263,0.025436715,T Cell LTB_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2673,0.089786756,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,2033,0.032956222,CD8 T Cell GZMK_high Liver
T Cell GZMK,Th1_NKG7,CD4,1414,0.050212164,CD8 T Cell GZMK_high Liver
B Cell CD79A,Memory_B_HSPA8,B_and_plasma,1578,0.027249683,B Cell Liver
T Cell IL7R,TCM_STMN1,CD4,1112,0.043165468,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4869,0.05237215,Monocyte Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,3138,0.053537285,Lymphatic Endothelial Cell Liver
NK/T Cell GNLY,NA,NA,1976,0.04402834,NK/T Cell Liver
T Cell GZMK,NA,NA,1846,0.093716143,T GD Cell Liver
T Cell GZMK,TEM_GIMAP4,CD8,1181,0.031329382,CD8 T Cell GZMK_high Liver
