Cell_type_in_merged_data,reclustered.fine,reclustered.broad,nCount_RNA,percent.mito,Cell_type_in_each_tissue
T Cell IL7R,TRM_H2AFZ,CD8,1640,6.09756e-4,T Cell LTB_high Liver
T Cell GZMK,MAIT_SLC4A10,CD8,4605,0.0330076,T Cell LTB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4510,0.047006652,Macrophage LST1_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,2569,0.073180226,Macrophage LST1_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,1249,0.061649319,CD8 T Cell TRBV4-2_high Liver
T Cell XCL1,TRM_MT1E,CD4,2547,0.036513545,T Cell MT1E_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,9072,0.060626102,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,4313,0.089265013,High Proliferation CD8 T Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1006,0.116302187,Monocyte Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,2744,0.190233236,Hepatic Oval Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2714,0.074060427,Monocyte Liver
T Cell GZMK,NA,NA,11978,0.03957255,High Proliferation CD8 T Cell Liver
T Cell GZMK,TEM_INFG,CD8,4060,0.03817734,CD8 T Cell TRBV4-2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1576,0.146573604,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,1360,0.082352941,NK/T Cell Liver
T Cell GZMK,TRM_TNF,CD4,2391,0.037222919,T Cell LTB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,7827,0.08138495,Macrophage LST1_high Liver
Monocyte,NA,NA,1809,0.18684356,CD8 T Cell GZMK_high Liver
T Cell GZMK,Th1_NKG7,CD4,1782,0.058922559,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Classical_Mon_AQP9,Myeloid,1919,0.045336113,Monocyte Liver
NK/T Cell GNLY,NA,NA,2036,0.054518664,NK/T Cell Liver
T Cell XCL1,TRM_HSPA1A,CD8,1491,0.075117371,T Cell LTB_high Liver
Macrophage FCN3,BEC_TNFRSF4,Endothelial_cell,8162,0.037980887,Endothelial Cell SLC9A3R2_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,1845,0.093766938,Monocyte Liver
T Cell IL7R,TRM_TNF,CD4,3100,0.031612903,T Cell LTB_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2455,0.043177189,Monocyte Liver
NK/T Cell GNLY,NA,NA,1412,0.062322946,NK/T Cell Liver
Macrophage C1QB,Mac_FTL,Myeloid,2652,0.016591252,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1868,0.065310493,Monocyte Liver
T Cell IL7R,TCM_STMN1,CD4,1204,0.051495017,T Cell LTB_high Liver
T Cell IL7R,TN/CM_LEF1,CD8,1917,0.034950443,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,2108,0.046963947,NK/T Cell Liver
T Cell GZMK,TEM_GIMAP4,CD8,1456,0.010989011,CD8 T Cell GZMK_high Liver
Monocyte,Mac_SDC3,Myeloid,3509,0.05215161,Macrophage LST1_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,1708,0.080210773,CD8 T Cell TRBV4-2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5844,0.055954825,Macrophage LST1_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,2102,0.058039962,Endothelial Cell SELE_high Liver
NK/T Cell GNLY,NA,NA,1647,0.063752277,NK/T Cell Liver
T Cell GZMK,NA,NA,4068,0.047689282,T GD Cell Liver
T Cell GZMK,TEM_INFG,CD8,1704,0.066901408,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,MAIT_SLC4A10,CD8,2619,0.110347461,T Cell LTB_high Liver
T Cell XCL1,TEFF_MT1E,CD8,2950,0.024067797,T Cell MT1E_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5984,0.070688503,Macrophage C1QB_high Liver
T Cell IL7R,TRM_TNF,CD4,2592,0.047067901,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4150,0.079518072,Monocyte Liver
T Cell IL7R,TN_LINC00861,CD4,1396,0.019340974,T Cell LTB_high Liver
T Cell GZMK,TEM_INFG,CD8,1441,0.078417765,CD8 T Cell TRBV4-2_high Liver
T Cell IL7R,TRM_HSPA1A,CD8,1677,0.020274299,T Cell LTB_high Liver
