SYMBOL,baseMean,log2FoldChange,pvalue,padj
ZGPAT,131.7195093,0.455362486,0.911542022,2.60577E-09
PURA,131.7372607,0.05899431,0.998795303,2.60577E-09
ANKRD49,131.7564487,0.025950393,0.996613876,2.60577E-09
KIAA0930,131.8062105,-0.346125556,0.944374671,2.60577E-09
CLPX,131.9261964,-0.931239836,0.589175757,2.60577E-09
FOXO4,131.9417475,-0.271163148,0.948879305,2.60577E-09
CLUH,131.9773258,0.159289852,0.970676738,2.60577E-09
ZNF654,132.0209262,-0.309062711,0.985239482,2.60577E-09
FAM3C,132.1192394,0.297066459,0.992489323,2.60577E-09
FAM136A,132.1368541,-0.66387494,0.868193406,2.60577E-09
SGTA,132.1819342,0.065951948,0.999985479,2.60577E-09
PSMB9,132.1839535,0.168363816,0.998662194,2.60577E-09
FAM120B,132.2286962,-0.241058829,0.965040412,2.60577E-09
ENSG00000301902,132.2907483,0.201124601,0.953440771,2.60577E-09
ABT1,132.3326313,0.291943587,0.996376956,2.60577E-09
DHPS,132.3894658,-0.071786784,0.980096173,2.60577E-09
MED4,132.3921368,0.04830136,0.999078072,2.60577E-09
TOMM70,132.4020559,-0.399649362,0.971936479,2.60577E-09
KPNA2,132.4751895,0.561674914,0.918407113,2.60577E-09
CDIPT,132.4837925,0.165571907,0.999785247,2.60577E-09
SPECC1,132.5236331,-1.67220181,0.136323096,2.60577E-09
SIKE1,132.57812,0.579646561,0.906166822,2.60577E-09
PIGO,132.604008,0.129821327,0.997547113,2.60577E-09
SERTAD1,132.6251929,1.406797786,0.085871957,2.60577E-09
MYBBP1A,132.6469643,-0.37225903,0.955840487,2.60577E-09
LINC01588,132.6850335,0.229801281,0.976853277,2.60577E-09
CYB5B,132.711149,0.811911516,0.673736802,2.60577E-09
MKRN2,132.7196953,0.254797707,0.989799073,2.60577E-09
USP30,132.758884,0.659208809,0.730457498,2.60577E-09
SLC39A13,132.7893729,1.032012972,0.4589821,2.60577E-09
NAPG,132.8051897,0.593414413,0.908399895,2.60577E-09
SENP2,132.8062619,6.71E-04,0.999973075,2.60577E-09
C21orf91,132.8413141,0.060342259,0.994821313,2.60577E-09
DCXR,132.8635754,0.786995779,0.642904365,2.60577E-09
DLEU2,133.003449,-0.476476136,0.925455911,2.60577E-09
PLCXD2,133.0320888,0.532649199,0.837675704,2.60577E-09
BCL2L11,133.108346,-0.283279803,0.945074104,2.60577E-09
ATAD1,133.1144825,-0.258574609,0.99719427,2.60577E-09
GTF3C5,133.1193329,0.240429432,0.998853108,2.60577E-09
ZHX3,133.1347999,1.195302939,0.365745837,2.60577E-09
ERLEC1,133.1958853,-0.040931246,0.99992887,2.60577E-09
CRIM1,133.1966982,0.509324043,0.839440007,2.60577E-09
SBDSP1,133.2628729,-0.139782291,0.98931632,2.60577E-09
ANO6,133.299884,0.341029037,0.949767147,2.60577E-09
LRRFIP2,133.4057191,-0.701924641,0.877198491,2.60577E-09
ENSG00000309270,133.4616532,-0.108028398,0.980728604,2.60577E-09
MEF2A,133.5265772,-0.146225347,0.972404062,2.60577E-09
CTNNBIP1,133.5676926,-0.820333307,0.699436765,2.60577E-09
CRELD2,133.611724,-0.459198098,0.993522432,2.60577E-09
SLC11A2,133.628612,-0.247139453,0.981141285,2.60577E-09
FAAP100,133.8295333,-0.157625751,0.999358469,2.60577E-09
TM2D3,133.8303651,-0.535522715,0.926058231,2.60577E-09
NOL9,133.8447465,-1.06E-04,0.999995776,2.60577E-09
LRRC59,133.9815413,0.598819368,0.904072119,2.60577E-09
MAPK8,134.0428269,-0.161307143,0.983279668,2.60577E-09
NIPAL3,134.0549869,-0.438976579,0.972241997,2.60577E-09
ATP7A,134.0583971,-0.291578944,0.97797425,2.60577E-09
TMEM39A,134.0602259,-0.436580019,0.971209523,2.60577E-09
KCNA3,134.1036046,0.425493295,0.919864914,2.60577E-09
GTF3C4,134.1409594,-0.733681771,0.737605898,2.60577E-09
FBXO38,134.1493783,-0.120920398,0.993001956,2.60577E-09
TAPT1,134.1501167,0.241021443,0.968064883,2.60577E-09
HEXD,134.2216398,0.24243462,0.940175392,2.60577E-09
RABL2B,134.232292,0.018695057,0.999588238,2.60577E-09
HSPA1A,134.2509779,-0.334115963,0.839932595,2.60577E-09
BABAM1,134.2530332,0.204259676,0.99463722,2.60577E-09
PPARD,134.2617216,-0.76914199,0.781398189,2.60577E-09
SENP3,134.2829761,-0.654192831,0.830850714,2.60577E-09
POLM,134.2999606,0.214848116,0.979687241,2.60577E-09
CDC34,134.3074401,-0.569651716,0.863050968,2.60577E-09
PSMB10,134.3508225,0.638580457,0.864949694,2.60577E-09
ATP9B,134.3771779,0.056343599,0.998472978,2.60577E-09
IVD,134.3853931,0.24818422,0.9771517,2.60577E-09
TMEM33,134.4100089,-0.36204406,0.968043116,2.60577E-09
ACSL5,134.411792,1.046993169,0.464219167,2.60577E-09
NAA35,134.4356996,-0.382937388,0.980846053,2.60577E-09
TXLNA,134.4627955,-0.160902915,0.998551733,2.60577E-09
CSE1L,134.4921433,0.203180016,0.999770188,2.60577E-09
ADH5,134.5000063,-0.746101497,0.799100595,2.60577E-09
LYPLA2,134.5557928,0.080697498,0.998713447,2.60577E-09
ENSG00000272916,134.6761354,0.204559163,0.993730538,2.60577E-09
ASB8,134.7252853,-0.006574591,0.999998991,2.60577E-09
ZNF507,134.7466613,-0.35865866,0.98927606,2.60577E-09
FKBP1A,134.7487824,-0.200393977,0.94305202,2.60577E-09
GSR,134.7944707,0.745280761,0.791107834,2.60577E-09
EXOC5,134.803832,0.58037279,0.859315005,2.60577E-09
ZNF767P,134.8645431,-0.06209446,0.994219913,2.60577E-09
SENP1,134.9196602,0.055019757,0.999150096,2.60577E-09
SETDB1,134.9361885,-0.260665927,0.999812248,2.60577E-09
AGL,134.9809659,0.161925952,0.998805269,2.60577E-09
SKAP2,135.0205703,-0.381870639,0.967099351,2.60577E-09
SACS,135.0359492,-0.656364734,0.823759033,2.60577E-09
RCN2,135.0525913,0.41878154,0.980243423,2.60577E-09
NEURL4,135.0531898,0.196456327,0.992519772,2.60577E-09
B3GAT3,135.0550906,0.678337516,0.86420164,2.60577E-09
MED6,135.0582797,-0.06237572,0.999849201,2.60577E-09
STX11,135.2028055,0.56817762,0.780087943,2.60577E-09
RBM4B,135.2052676,-0.211790851,0.966225701,2.60577E-09
RBM42,135.2267171,0.34208528,0.979923946,2.60577E-09
MFF,135.2573075,-0.200558285,0.967235904,2.60577E-09
COPS5,135.4320007,-0.093102025,0.991839799,2.60577E-09
EPHA4,135.434637,-1.912607261,0.076201556,2.60577E-09
USP3.AS1,135.4505282,-0.491327198,0.867353515,2.60577E-09
MTMR9,135.570655,0.028576637,0.999693189,2.60577E-09
RARS2,135.57554,-0.132738381,0.999896299,2.60577E-09
ATP6V0B,135.6054463,0.306202154,0.949311922,2.60577E-09
SLC25A42,135.6401551,0.110339164,0.985366084,2.60577E-09
SH3BP5.AS1,135.655865,0.061996313,0.999808837,2.60577E-09
WARS1,135.6663161,-0.200885047,0.998462279,2.60577E-09
C22orf39,135.6888209,-0.874723724,0.614858158,2.60577E-09
UBE2E3,135.7357436,0.615422455,0.84167054,2.60577E-09
AP3M1,135.747605,0.330280199,0.971898776,2.60577E-09
TMEM140,135.8716572,1.086042116,0.429951056,2.60577E-09
D2HGDH,135.9144701,1.130617081,0.394951855,2.60577E-09
SEPSECS,135.9353337,-0.477980727,0.936473826,2.60577E-09
DDX60,135.9756836,-0.173990639,0.954109688,2.60577E-09
CCDC47,136.001342,0.205303705,0.970404127,2.60577E-09
CCDC18.AS1,136.0091282,-0.818395789,0.691279917,2.60577E-09
CCT4,136.0303318,-0.025932234,0.999869921,2.60577E-09
SULT1A3,136.0841992,0.427728496,0.853729842,2.60577E-09
PIGA,136.1300953,0.569040637,0.731729966,2.60577E-09
DUSP5,136.2134582,1.068810803,0.466728171,2.60577E-09
DHRS1,136.245821,-0.206883939,0.96020027,2.60577E-09
TYW5,136.3407045,-0.323840574,0.981457342,2.60577E-09
EML2,136.3407978,0.040027408,0.994676633,2.60577E-09
SELENOF,136.3753763,0.493151032,0.859818644,2.60577E-09
GBP3,136.4562514,0.228940871,0.985331372,2.60577E-09
DTX3L,136.4855944,0.24896793,0.968550382,2.60577E-09
TRAPPC2,136.5942292,-0.27821788,0.998820148,2.60577E-09
TOGARAM2,136.6089009,1.278193267,0.180928602,2.60577E-09
FAM50A,136.6350579,0.7935357,0.66506365,2.60577E-09
TMA7,136.6368489,0.105751272,0.998725383,2.60577E-09
FANCA,136.6752207,0.462476632,0.952434857,2.60577E-09
UPK3BL1,136.7412248,-0.159409818,0.95778914,2.60577E-09
ZNF350,136.7592519,0.356845499,0.83991362,2.60577E-09
KMT5C,136.8076812,0.264843949,0.968583135,2.60577E-09
DNAJC8,136.8299894,0.294827352,0.996382014,2.60577E-09
ADAM9,136.9942217,-1.36676935,0.152636303,2.60577E-09
USP32,136.9996916,0.061701249,0.989683947,2.60577E-09
BHLHE40.AS1,137.0492356,0.523075357,0.799674045,2.60577E-09
PRKRA,137.2155068,-0.666993107,0.808804592,2.60577E-09
CREM,137.2695502,1.468002077,0.105178055,2.60577E-09
TESK1,137.3229727,-0.442217846,0.967758513,2.60577E-09
TLE3,137.4103131,-1.04564929,0.468793706,2.60577E-09
SRP54,137.4378019,0.252909394,0.999475925,2.60577E-09
CSPP1,137.7308069,-0.834585446,0.663081045,2.60577E-09
AGPS,137.7318533,-0.499442371,0.921614282,2.60577E-09
RNA5.8SN2,137.8559164,-0.217632397,0.952831562,2.60577E-09
P2RX4,137.898019,-0.287699367,0.993955442,2.60577E-09
CAPN10,137.9117665,-0.275812867,0.982534783,2.60577E-09
ENSG00000263244,137.933122,-0.240138963,0.887965578,2.60577E-09
SRF,138.0704122,0.201925199,0.98168372,2.60577E-09
C2CD5,138.0766115,-0.876017054,0.623561212,2.60577E-09
ZPR1,138.0869616,0.268472678,0.97271533,2.60577E-09
NSA2,138.1340576,-0.588248746,0.924999959,2.60577E-09
PIH1D1,138.1648328,0.071064187,0.999536436,2.60577E-09
PSMA6,138.1942952,-0.185154567,0.972366825,2.60577E-09
PDPR2P,138.21618,-0.078536831,0.999778716,2.60577E-09
FBXL6,138.3061119,0.66166872,0.828308968,2.60577E-09
KDM4A,138.3319158,0.142707841,0.988853578,2.60577E-09
CLEC16A,138.3403205,0.080908057,0.993332999,2.60577E-09
LRRC8C,138.3914333,-0.214403919,0.96470495,2.60577E-09
SEL1L3,138.4043719,-0.788380896,0.680605551,2.60577E-09
RBM19,138.4697268,-0.340548397,0.997615886,2.60577E-09
SNRPN,138.5050354,-0.365626392,0.966032605,2.60577E-09
CTSZ,138.540392,-0.664848308,0.837597694,2.60577E-09
NCR1,138.5985092,-0.170298218,0.99269166,2.60577E-09
PKD1P1,138.6135954,1.602432828,0.37251332,2.60577E-09
BTN2A2,138.6446859,0.348411291,0.849811175,2.60577E-09
REX1BD,138.7052777,-0.042646207,0.996514065,2.60577E-09
ABI2,138.7714625,0.024068711,0.997764176,2.60577E-09
EGLN1,138.7772118,0.188495669,0.987379108,2.60577E-09
ENSG00000244491,138.7871611,1.023713695,0.477631817,2.60577E-09
STK11IP,138.8099877,0.364182262,0.96030007,2.60577E-09
CAPZA2,138.8315652,-0.168318354,0.98263367,2.60577E-09
PLEKHM3,138.8358922,0.191012605,0.999117249,2.60577E-09
ENSG00000272211,138.8721805,-0.24972257,0.991401025,2.60577E-09
TSPYL4,138.8832229,-1.174845195,0.343653653,2.60577E-09
ENSG00000291159,138.8846479,-0.636818079,0.746808434,2.60577E-09
LETM1,138.885032,0.558111588,0.877228213,2.60577E-09
KLHL28,138.8872657,-0.055584808,0.999242115,2.60577E-09
ZNF337,138.8907489,-0.233640197,0.996294129,2.60577E-09
ZDHHC21,138.9197515,-0.560462902,0.930343135,2.60577E-09
LSM12,138.9747672,-0.131311891,0.991100177,2.60577E-09
MAP3K7,138.9747817,0.289460536,0.994406526,2.60577E-09
UBE2L3,138.9804846,0.461438767,0.962571721,2.60577E-09
RABGAP1,138.9994126,-0.287195707,0.9580533,2.60577E-09
APEX1,139.000427,-0.190220257,0.996821134,2.60577E-09
SEC13,139.0134477,-0.145156026,0.999604921,2.60577E-09
ODC1,139.0570102,1.068873864,0.419974936,2.60577E-09
VARS1,139.076279,-0.542932528,0.850811873,2.60577E-09
ZCCHC14,139.0820763,0.438511804,0.939102785,2.60577E-09
TMEM50B,139.1908762,-0.411409906,0.956093772,2.60577E-09
NEU1,139.2372455,0.894650852,0.626052706,2.60577E-09
ZMYM4,139.2393684,-0.149617155,0.989215943,2.60577E-09
WDR59,139.2493803,-0.260617039,0.971812159,2.60577E-09
BCL7B,139.2711097,0.006583833,0.999965108,2.60577E-09
NDST2,139.2801425,0.680158645,0.853424004,2.60577E-09
PTCD1,139.2860887,-0.024731392,0.99965288,2.60577E-09
LINC01278,139.3244564,-0.197312133,0.99908843,2.60577E-09
ENSG00000310496,139.3420461,0.287667232,0.913346017,2.60577E-09
CUTA,139.3688153,-0.256000896,0.989380415,2.60577E-09
PLAAT4,139.3879061,1.465914903,0.054316999,2.60577E-09
HYCC1,139.4487443,0.508257526,0.856914486,2.60577E-09
VRK3,139.5724249,0.40491819,0.967748755,2.60577E-09
CRIP1,139.6636675,-0.906204197,0.58478756,2.60577E-09
HMGXB4,139.6705546,-0.101154875,0.9960109,2.60577E-09
STAG3L5P.PVRIG2P.PILRB,139.8310434,-0.580851458,0.905456887,2.60577E-09
USF1,139.9937745,0.314674428,0.994273454,2.60577E-09
ZBTB25,140.0347504,-0.208121725,0.964620271,2.60577E-09
KIAA1191,140.0373985,0.08739905,0.999892171,2.60577E-09
MED29,140.1117516,0.115990864,0.999801336,2.60577E-09
ATP5MC2,140.176807,0.129847481,0.999119451,2.60577E-09
MMP23B,140.2010158,1.523794947,0.08255487,2.60577E-09
UBE2S,140.2211897,-0.220294451,0.957709554,2.60577E-09
CD52,140.233335,-0.249884203,0.979211993,2.60577E-09
QSER1,140.261037,0.121769476,0.962399532,2.60577E-09
HMG20A,140.3238208,-0.247245537,0.962759556,2.60577E-09
ZNF160,140.5343631,-0.283370007,0.997249027,2.60577E-09
ZNF107,140.6796403,0.239990851,0.95214737,2.60577E-09
MBTD1,140.6882249,-0.212107087,0.964160506,2.60577E-09
TP53INP2,140.7120856,1.272489946,0.26859357,2.60577E-09
PEX2,140.7259354,-0.118756766,0.990277071,2.60577E-09
NIPA2,140.7264053,0.083938886,0.994965676,2.60577E-09
EDF1,140.7386191,0.176706115,0.997704275,2.60577E-09
ATP11A,140.7539159,1.672683786,0.052288831,2.60577E-09
GZMH.AS1,140.8434288,1.659479393,0.0737018,2.60577E-09
PIAS3,140.9113443,-0.405179943,0.959004747,2.60577E-09
CYRIA,141.0359447,0.094982011,0.995124684,2.60577E-09
TMEM135,141.0522123,0.368556621,0.847293706,2.60577E-09
MIR3667HG,141.0598492,0.31888842,0.9457755,2.60577E-09
SIAH2,141.068932,0.378921529,0.93840209,2.60577E-09
ZDHHC8,141.0734263,0.006703206,0.999769009,2.60577E-09
HSPA1B,141.1432319,-0.374612187,0.850994074,2.60577E-09
ABHD16A,141.3340451,0.479564546,0.942275027,2.60577E-09
PRPS1,141.3539172,0.125970004,0.946500605,2.60577E-09
SLC12A9,141.3915162,0.483243389,0.912102198,2.60577E-09
H2AC19,141.4833146,0.507529172,0.791382228,2.60577E-09
FAN1,141.4912019,-0.44760473,0.972173036,2.60577E-09
ZNF431,141.5097154,-0.02973755,0.999308416,2.60577E-09
RAB22A,141.5864554,0.001119261,0.999989672,2.60577E-09
COQ10B,141.6046124,0.201608324,0.973351373,2.60577E-09
MLLT1,141.6287042,-0.232443017,0.994696875,2.60577E-09
ZNF407,141.6564426,-0.423223053,0.967149637,2.60577E-09
MX2,141.7312203,-0.33179364,0.939407549,2.60577E-09
USP39,141.8781455,-0.167031095,0.972564504,2.60577E-09
DDX47,141.8988863,-0.375016274,0.973467247,2.60577E-09
SLC7A6OS,141.9037143,-1.01102583,0.486549893,2.60577E-09
ATP1B3,141.9284954,0.617965829,0.741493568,2.60577E-09
TBC1D10B,142.0560002,0.617466311,0.804117585,2.60577E-09
A2M.AS1,142.0649758,0.660568884,0.820185508,2.60577E-09
ATP11C,142.0951261,-0.212594661,0.930700551,2.60577E-09
PHF11,142.0977389,0.122061961,0.999396773,2.60577E-09
ZNF33A,142.0997747,0.097337262,0.996143955,2.60577E-09
HOXD11,142.1273938,0.113464238,0.94744218,2.60577E-09
RBSN,142.1643679,0.39364024,0.960370306,2.60577E-09
MAST2,142.2078661,0.057382279,0.988135134,2.60577E-09
MACO1,142.2365352,0.160924482,0.975367284,2.60577E-09
SLC5A3,142.2580117,-0.342100521,0.995353374,2.60577E-09
KLF16,142.3192434,0.131658434,0.997573981,2.60577E-09
LGALS9C,142.3195649,0.465790092,0.813027529,2.60577E-09
EMSY,142.3406764,-0.44091137,0.965840447,2.60577E-09
PGAP3,142.4056519,0.147986636,0.99985263,2.60577E-09
DUSP22,142.4233103,0.748040982,0.789609642,2.60577E-09
UQCRB,142.4391399,-0.02051883,0.998236662,2.60577E-09
SPART,142.4393838,0.316767559,0.944173017,2.60577E-09
CEP164,142.4467934,0.078921679,0.999806192,2.60577E-09
IPCEF1,142.5103265,0.84111362,0.645929318,2.60577E-09
SLC12A2,142.5637603,-0.431029796,0.942233069,2.60577E-09
CCDC97,142.5771245,0.338637508,0.974336143,2.60577E-09
GALNT2,142.5827614,0.090528498,0.999748146,2.60577E-09
ENSG00000291207,142.6216583,-0.146196146,0.999767034,2.60577E-09
LIG1,142.6554376,0.312801053,0.995418182,2.60577E-09
COLGALT1,142.7112128,0.190524055,0.988679416,2.60577E-09
ZBTB33,142.714153,-0.031073347,0.999905369,2.60577E-09
CHUK,142.7158415,0.384018646,0.966882585,2.60577E-09
FCHO1,142.721709,-0.965099245,0.534341297,2.60577E-09
CCPG1,142.7266532,0.153618808,0.989353977,2.60577E-09
ENSG00000280433,142.8028211,0.31710281,0.847896592,2.60577E-09
EXOSC9,142.8403876,-0.314611991,0.982204619,2.60577E-09
GZF1,142.9466038,0.122533613,0.990964335,2.60577E-09
CWF19L1,143.0822589,-0.434943223,0.983160534,2.60577E-09
DRAP1,143.1804166,-0.008985777,0.999908315,2.60577E-09
NBEAL1,143.2334398,-0.907180145,0.572857173,2.60577E-09
CANT1,143.3155824,0.090389429,0.991957015,2.60577E-09
RSU1,143.3501694,0.337633932,0.961426443,2.60577E-09
AKIRIN2,143.3922109,-0.017468579,0.998131248,2.60577E-09
ARL14EP,143.4152867,-1.052771082,0.471064442,2.60577E-09
SAP18,143.418957,0.873977494,0.614385968,2.60577E-09
NUCB2,143.5330589,-0.145345692,0.982677893,2.60577E-09
MPPE1,143.5457933,-0.266242677,0.971767715,2.60577E-09
VPS36,143.546186,-0.248873719,0.943272882,2.60577E-09
ZNF548,143.5841918,0.294113892,0.988762807,2.60577E-09
NR4A3,143.642318,-0.314425563,0.923945891,2.60577E-09
CHD1L,143.6542845,0.363340271,0.982567014,2.60577E-09
IGFBP7,143.7637662,0.619154323,0.767500104,2.60577E-09
TOR1AIP2,143.8049823,-0.327195301,0.99096177,2.60577E-09
IDH3G,143.8344922,0.505420898,0.96941235,2.60577E-09
CNPY3,143.8589682,0.068078012,0.999817851,2.60577E-09
SNHG17,143.9670826,-0.025276192,0.998486503,2.60577E-09
GMFB,144.0111667,-0.376627348,0.93858396,2.60577E-09
GNL3,144.0710262,-0.680168791,0.765469164,2.60577E-09
ARHGAP8,144.1002595,0.527042382,0.764556278,2.60577E-09
MICALL1,144.1291335,-0.426808565,0.944626036,2.60577E-09
ELOVL1,144.3024692,0.207028598,0.998347667,2.60577E-09
GPR108,144.3302836,0.30618534,0.988691673,2.60577E-09
POR,144.3775378,-0.074741058,0.991795957,2.60577E-09
WBP1,144.4225148,-0.189300023,0.998039628,2.60577E-09
GMFG,144.4315729,-0.155824097,0.999798566,2.60577E-09
ERO1B,144.4636111,-0.210940415,0.982266389,2.60577E-09
NUS1,144.4986336,-0.069738757,0.996979461,2.60577E-09
DERL2,144.5269211,0.730962044,0.801595516,2.60577E-09
DENND1A,144.5385493,0.125569129,0.992800311,2.60577E-09
NDUFS1,144.6421047,0.109545908,0.996613423,2.60577E-09
RASSF3,144.6453593,-0.052346181,0.998819075,2.60577E-09
PCMTD1,144.6697013,-0.798561418,0.77659805,2.60577E-09
FDPS,144.7096758,-0.140298828,0.999554272,2.60577E-09
ERP29,144.8266065,0.5218513,0.936814786,2.60577E-09
NUP155,144.9544112,-0.193320919,0.978926438,2.60577E-09
ZNF700,145.1320849,-0.060533652,0.9997982,2.60577E-09
QSOX1,145.1738004,0.23245092,0.989652871,2.60577E-09
GET4,145.1943412,-0.068088024,0.988025738,2.60577E-09
PSMA3,145.3618725,-0.006622155,0.999620988,2.60577E-09
CARNS1,145.4197188,0.937045925,0.546087465,2.60577E-09
ECD,145.4262714,0.033323843,0.998581566,2.60577E-09
LIX1L,145.43287,0.315514292,0.978596572,2.60577E-09
UBE2M,145.4755599,0.606318163,0.843590042,2.60577E-09
GNPTG,145.6883381,-0.066272782,0.999507495,2.60577E-09
FCER1G,145.8032441,-0.07826755,0.973879252,2.60577E-09
SARM1,145.8432204,-0.068752618,0.998644169,2.60577E-09
INTS15,145.9419869,0.300864294,0.990208711,2.60577E-09
ZC3H14,146.0000798,-0.228026714,0.989319299,2.60577E-09
RBM7,146.0159155,-0.237081602,0.95405256,2.60577E-09
STK35,146.0332929,0.142802891,0.997306615,2.60577E-09
SYNGR2,146.0901995,-0.436384877,0.946465924,2.60577E-09
ZNF324,146.1249531,-0.215374826,0.997663182,2.60577E-09
GAN,146.1760007,0.601669073,0.732897514,2.60577E-09
MAGED1,146.189259,-0.071391333,0.997873804,2.60577E-09
AP5B1,146.2222659,0.375096316,0.985483124,2.60577E-09
EIF3J,146.3104103,-0.810130192,0.736165051,2.60577E-09
SEC24A,146.359411,0.218288487,0.991038948,2.60577E-09
VPS8,146.40018,0.292647381,0.978333844,2.60577E-09
TRIOBP,146.4415809,0.008132827,0.999800111,2.60577E-09
ECH1,146.4930138,0.431132405,0.884037361,2.60577E-09
CNOT9,146.5398009,0.153473015,0.973286584,2.60577E-09
RNF34,146.6085776,0.503055853,0.920029434,2.60577E-09
PITPNB,146.6352003,-0.242855636,0.980969466,2.60577E-09
ENSG00000289698,146.7281253,-0.311415962,0.993241203,2.60577E-09
NEK7,146.7934247,-0.513606654,0.876908893,2.60577E-09
MKNK1,146.805765,-0.085037888,0.999420554,2.60577E-09
ENSG00000260997,146.9497163,0.984971149,0.519822255,2.60577E-09
HBS1L,146.9620444,-0.611515645,0.766190215,2.60577E-09
TTC31,146.9729147,-0.340533252,0.963740557,2.60577E-09
ZNF506,146.9992994,-0.394805354,0.98848558,2.60577E-09
MTMR12,147.0072396,0.672607769,0.818807858,2.60577E-09
ENSG00000261884,147.0080537,0.026188312,0.998857373,2.60577E-09
GABPB1,147.0690519,-0.203010043,0.914603681,2.60577E-09
CDKN2AIP,147.1102464,0.181996919,0.997927874,2.60577E-09
RELB,147.2792067,-0.133790263,0.941578,2.60577E-09
PARP9,147.2987933,0.155783643,0.99827965,2.60577E-09
PRELID3B,147.4184029,-0.117400755,0.99871349,2.60577E-09
EIF3K,147.4365468,-0.058717734,0.999853482,2.60577E-09
VAC14,147.4629078,0.263404274,0.986371393,2.60577E-09
ENSG00000299858,147.5115636,0.628706067,0.740697218,2.60577E-09
SLC17A9,147.5777061,-1.63638969,0.099108113,2.60577E-09
ADAM15,147.6192355,1.334174693,0.159776615,2.60577E-09
BCL2L1,147.7044991,1.172810334,0.281850321,2.60577E-09
CEP68,147.7917415,-1.19949577,0.194376353,2.60577E-09
TIGIT,147.8070072,1.07026451,0.449776224,2.60577E-09
LRRC37A4P,147.8884156,-1.01782416,0.493952795,2.60577E-09
KIF1B,147.9204843,0.794549733,0.649303159,2.60577E-09
CRNKL1,148.0109575,-0.175193897,0.998268616,2.60577E-09
CSNK1G1,148.0545439,0.472017553,0.892053302,2.60577E-09
YJU2B,148.0566378,0.604741812,0.867063869,2.60577E-09
CWF19L2,148.0738689,-0.112699365,0.998798161,2.60577E-09
HERC2P9.1,148.1592902,-0.354817886,0.889697722,2.60577E-09
KAT5,148.1967992,0.158585044,0.999906339,2.60577E-09
UBE2N,148.2030692,5.97E-04,0.999979262,2.60577E-09
ATAD2,148.2700208,-0.610860529,0.887155176,2.60577E-09
ENSG00000279166,148.2747683,1.685903217,0.07083186,2.60577E-09
NFKBIE,148.3121357,0.327321233,0.847009466,2.60577E-09
FBXW4,148.3208432,0.044986917,0.999064162,2.60577E-09
ERCC6L2,148.3251495,0.140570599,0.99383488,2.60577E-09
ZFPM1,148.3661539,-1.103708956,0.390752576,2.60577E-09
HIP1,148.4650617,-1.155591018,0.366004183,2.60577E-09
IARS2,148.5813593,0.062426273,0.990435824,2.60577E-09
ELOB,148.6195375,-0.168492658,0.96663212,2.60577E-09
RAE1,148.6497435,0.290699917,0.998848324,2.60577E-09
TRAPPC14,148.7077275,0.08663314,0.996036809,2.60577E-09
GOSR1,148.759224,-0.187751034,0.998214608,2.60577E-09
CELF2.AS1,148.7655583,0.682705343,0.812328892,2.60577E-09
MAPK13,148.868461,0.973092387,0.527772635,2.60577E-09
ADIPOR2,149.1128037,0.355830423,0.975955259,2.60577E-09
NFIC,149.1916507,-0.437560056,0.961784639,2.60577E-09
PRPF39,149.2614086,0.138271953,0.997111308,2.60577E-09
SOCS4,149.2846669,1.058572099,0.475271259,2.60577E-09
TBCC,149.2951683,0.138625911,0.999680232,2.60577E-09
PEX26,149.314585,-0.049998063,0.988040731,2.60577E-09
IBTK,149.3819614,0.019692324,0.998898674,2.60577E-09
MIR142HG,149.4591818,-0.758977878,0.699988062,2.60577E-09
TADA3,149.4946072,0.480993896,0.945984335,2.60577E-09
PFKP,149.5762892,-1.656167595,0.167210177,2.60577E-09
IL27RA,149.6555962,0.164890908,0.998605397,2.60577E-09
SINHCAF,149.6846152,-0.896809788,0.619960951,2.60577E-09
COASY,149.7143263,-0.149214721,0.989104457,2.60577E-09
GMEB2,149.7582164,0.033271686,0.999914146,2.60577E-09
GLTP,149.839288,0.059875157,0.999394823,2.60577E-09
PNPLA8,149.8847428,-0.328023199,0.958395346,2.60577E-09
ZNF496,149.950694,-0.194244937,0.963760881,2.60577E-09
OTULINL,149.9954545,-0.778044106,0.718687286,2.60577E-09
NCOA7,150.1080077,-0.139889987,0.976416748,2.60577E-09
SGPL1,150.1276953,0.53589988,0.897789195,2.60577E-09
PGM3,150.2294598,-2.309425104,0.057743018,2.60577E-09
CCT3,150.2687006,0.078864172,0.998917924,2.60577E-09
ENSG00000235859,150.2901421,0.557403811,0.848145138,2.60577E-09
MIR22HG,150.2922057,1.065142981,0.460240098,2.60577E-09
ENSG00000232035,150.2988205,0.236941364,0.888409827,2.60577E-09
VDAC2,150.31472,-0.028907567,0.9998779,2.60577E-09
DHRS7,150.4157381,0.591442967,0.904743064,2.60577E-09
OSBPL9,150.5103079,0.308274802,0.968134353,2.60577E-09
CYP20A1,150.5407944,-0.123813787,0.995526309,2.60577E-09
ELK3,150.5732972,-0.469995143,0.937934285,2.60577E-09
CBX5,150.5965489,0.307962575,0.991581901,2.60577E-09
DKC1,150.6208273,-0.455799458,0.969827155,2.60577E-09
AAMP,150.6942472,-0.198735561,0.999493576,2.60577E-09
TFE3,150.7357497,-0.329008224,0.965522905,2.60577E-09
NELFE,150.7722432,0.862391669,0.581603903,2.60577E-09
MIATNB,150.7775278,0.896520667,0.569395287,2.60577E-09
DHX37,150.7820773,-0.165606197,0.987222051,2.60577E-09
