SYMBOL,baseMean,log2FoldChange,pvalue,padj
PSTPIP2,95.59713261,2.179067694,0.003862282,0.623608837
CABLES1,54.56683352,-3.386338631,0.003978141,0.614205861
LTBP2,41.35612169,2.867094085,0.004588064,0.564063344
FMNL1.DT,195.4544245,-2.484393731,0.004581706,0.564063344
FKBP11,720.0853859,2.346239555,0.004555893,0.564063344
RHOT1P2,37.74432369,3.000994777,0.004630293,0.563399604
IL18R1,331.6907264,-2.023842462,0.004949816,0.544215562
KIR2DS4,102.3731908,4.598314054,0.005021345,0.542801186
ENSG00000290933,250.4539134,2.565140557,0.005011599,0.542801186
FGL2,61.77012086,2.572724476,0.005085645,0.540456805
INPP5F,112.0241272,-2.421000616,0.005188353,0.539900407
ENSG00000258539,55.04185533,2.697226143,0.005340376,0.533266949
AREG,66.41684174,-2.919130253,0.005389275,0.53084032
YBX3,62.6759947,-3.060882679,0.005547533,0.521318486
HLA.DRA,59.29197457,-2.795374334,0.00562811,0.516571675
SEPTIN8,36.22419287,2.617270022,0.00566807,0.515009606
KLHL6,55.24121777,-2.346230553,0.005769881,0.514753062
BCKDHB,63.50036784,-2.815318791,0.005711043,0.514753062
PLXNC1,91.79945548,-2.161593064,0.005959622,0.505270545
KIFC3,194.8366007,2.510118141,0.006071811,0.504087865
DTHD1,201.3307572,2.058318472,0.006132278,0.504087865
GZMM,293.1340204,1.745486104,0.006082518,0.504087865
ABTB3,92.98227586,2.44850836,0.006321864,0.495345536
LSR,66.3829331,-2.831945729,0.006407744,0.490897876
ATP1A3,149.470906,2.992559043,0.00669153,0.479071221
SLC2A1,270.228539,2.405021917,0.006815611,0.473858081
ST8SIA6,59.81985126,2.605932272,0.006876151,0.472766164
BCL9,39.36616736,2.245591087,0.007151207,0.459822939
GATA3,458.6102388,-1.907130028,0.007290785,0.456480099
NAB1,96.26574891,-2.664240207,0.007473249,0.447426222
MARCKSL1,60.12377038,2.080072407,0.00750953,0.446657166
MIR4435.2HG,127.6651877,1.957263364,0.007713595,0.436343218
CD3G,112.1565222,4.25881093,0.007974635,0.423215345
CHD7,229.9061732,2.160608909,0.008223881,0.413607072
F2R,248.1465586,2.004645552,0.008513214,0.404697802
RDH10,42.95288606,2.045965341,0.008600914,0.403094659
CEBPB,150.6756655,1.869947801,0.008607447,0.403094659
CAMK4,38.93396226,-3.191396883,0.008930972,0.397264521
ARAP3,48.71384878,2.120847741,0.008958297,0.397264521
NFIX,42.69586887,-3.120969911,0.009190428,0.388760024
MPZL3,37.55738516,-2.30962998,0.010354733,0.349026067
CELSR1,82.83808992,-2.61250573,0.010383141,0.349026067
MAF,129.658042,2.160588782,0.010430341,0.348261026
COL6A2,372.4664177,2.113775832,0.010460462,0.348210018
KLRC2,78.44584045,-2.887617018,0.010657045,0.343708398
ANKRD20A5P.1,49.42150161,2.42620736,0.010799644,0.341200244
SLCO4C1,109.6143933,1.802356174,0.010806869,0.341200244
LIM2.AS1,62.89709902,2.184075312,0.011052797,0.334954031
HLA.DMB,70.42270333,-2.618937333,0.011125751,0.333394737
LONRF3,84.55940677,2.12060012,0.01156521,0.323617566
ASPH,72.97734994,-2.289091682,0.012183034,0.30649563
GPR155,49.1780345,-1.783790652,0.012475634,0.301101288
GTF3C1,937.2340802,2.024920227,0.012470077,0.301101288
SIGLEC10,63.6625414,2.474157632,0.012603641,0.298505892
