x,y,time,peptide
18.644402044272653,-4.487883308052334,3,N4
26.905581294317617,11.291241929052616,3,N4
-8.701208826278759,14.277169737426153,3,N4
26.609966169734108,5.5460937386429325,3,N4
-25.413152894735376,-3.408576980450631,3,N4
-29.396520658257447,0.5572093080670942,NA,NA
-29.531956344755233,0.509734254441619,NA,NA
-34.02425411399403,-1.192569149593626,NA,NA
-34.15846022885789,-0.81402112380188,NA,NA
-39.243365426631755,4.127642105267064,NA,NA
-26.898259247599373,-0.1252871151336283,NA,NA
-36.23722816384883,1.1666570127630578,NA,NA
-37.79688816110867,1.6843578096537273,NA,NA
-33.61339580775711,4.472155115738449,NA,NA
-34.03338743759284,-2.0025778671447765,NA,NA
-30.59873894010931,8.228367228686379,NA,NA
-28.88416021442569,17.092805707822134,1,N4
-26.25828456928444,21.22880160053333,1,N4
-27.471051786218172,23.03413510711176,1,N4
-36.98224090506758,13.38531140998053,1,N4
-22.050693285057704,27.429209185698472,1,N4
-25.597085345885024,29.54803249268073,1,N4
-28.889851874717337,28.00726167005169,1,N4
-18.70119552140774,25.491430568714684,1,N4
-29.537034570186705,31.16233078799921,1,N4
-22.841847285492776,22.173690364505944,1,N4
-30.907282950120152,20.573063296649824,1,N4
-23.892992349379274,25.90219746031101,1,N4
-35.578647331160525,19.422728436893987,1,N4
-35.6589876449741,15.565689292195476,1,N4
30.76149619136355,4.455602806230971,3,N4
-6.8269294501299855,13.660239969329302,3,N4
-4.555713243738637,-5.507199061622204,3,N4
25.531379448050945,2.273561006094303,3,N4
35.31759904919579,9.830543450240064,3,N4
14.863621555592404,12.787884475837028,3,N4
27.00028414300623,2.2375834272119586,3,N4
20.875707862731993,11.31046518138004,3,N4
16.60078757269052,19.300507830584415,3,N4
20.044213926900117,14.392174293726386,3,N4
0.7710810986668436,-1.0961684147661035,3,N4
8.123814440743091,11.352916718767007,3,N4
24.44575981771718,3.756901760327355,3,N4
22.05201092425258,2.688571633018336,3,N4
