age,individual,single.cell.well.quality,post.analysis.well.quality,single.cell.quality,CD69.measurement..log10.,CD25.measurement..log10.,CD44.measurement..log10.,CD62L.measurement..log10.,sorting.plate.well,sequencing.plate.well,stimulus,time,sizeFactor
11.5,2,OK,pass,OK,1.46239799789896,1.51851393987789,1.34242268082221,3.07591176148278,Plate 3 D7,Plate 3 D7,peptide T4,6,0.7106371902189246
11.5,2,OK,pass,OK,2.59549622182557,2.24551266781415,2.42975228000241,2.72672720902657,Plate 3 D8,Plate 3 D8,peptide T4,6,0.8008250008525134
11.5,2,OK,pass,OK,1.93449845124357,0.954242509439325,1.73239375982297,3.3003780648707,Plate 3 D9,Plate 3 D9,peptide T4,6,0.48753556724480634
11.5,2,OK,pass,OK,2.12057393120585,1.68124123737559,0.903089986991944,2.80888586735981,Plate 3 D10,Plate 3 D10,peptide T4,6,0.40013962772454975
11.5,2,OK,pass,OK,2.19865708695442,1.34242268082221,1.30102999566398,2.61172330800734,Plate 3 D11,Plate 3 D11,peptide T4,6,0.346769335504743
11.5,2,OK,pass,OK,2.02530586526477,1.5910646070265,1.47712125471966,3.13735411137073,Plate 3 D12,Plate 3 D12,peptide T4,6,0.8461128487506864
11.5,2,OK,pass,OK,0.477121254719662,0,0.301029995663981,1.84509804001426,Plate 3 E1,Plate 3 E1,peptide N4,1,0.2855511341779926
11.5,2,OK,pass,OK,0,0.602059991327962,0,1.66275783168157,Plate 3 E2,Plate 3 E2,peptide N4,1,0.3874702158386851
11.5,2,OK,pass,OK,1.66275783168157,0.954242509439325,1.32221929473392,2.21218760440396,Plate 3 E3,Plate 3 E3,peptide N4,1,0.4156054210163369
11.5,2,OK,pass,OK,0.778151250383644,0.778151250383644,0,2.38738982633873,Plate 3 E4,Plate 3 E4,peptide N4,1,0.47282299281558215
11.5,2,OK,pass,OK,0.903089986991944,1.11394335230684,0.477121254719662,2.62428209583567,Plate 3 E5,Plate 3 E5,peptide N4,1,0.3533227906382999
11.5,2,OK,pass,OK,0,0.845098040014257,0.301029995663981,2.99519629159718,Plate 3 E8,Plate 3 E8,peptide N4,1,0.3850707401807
11.5,2,OK,pass,OK,0.698970004336019,0.698970004336019,0.954242509439325,2.72672720902657,Plate 3 E9,Plate 3 E9,peptide N4,1,0.4682360252513513
11.5,2,OK,pass,OK,1.44715803134222,0.602059991327962,0.301029995663981,1.7160033436348,Plate 3 E10,Plate 3 E10,peptide N4,1,0.328110255059096
11.5,2,OK,pass,OK,0,0.477121254719662,1.43136376415899,1.70757017609794,Plate 3 E11,Plate 3 E11,peptide N4,1,0.4116949973406357
11.5,2,OK,pass,OK,1.41497334797082,0.477121254719662,0.698970004336019,2.01703333929878,Plate 3 E12,Plate 3 E12,peptide N4,1,0.36607789808337843
11.5,2,OK,pass,OK,0,1,1.20411998265592,3.15106325335375,Plate 3 F1,Plate 3 F1,NA,NA,0.4306382262194651
