age,individual,single.cell.well.quality,post.analysis.well.quality,single.cell.quality,CD69protein,CD25protein,CD44protein,CD62Lprotein,sorting.plate.well,sequencing.plate.well,peptide,time,sizeFactor,Cd69transcript,CD25transcript,Cd44transcript,Cd62ltranscript,PC1,PC2,TSNE1,TSNE2,UMAP1,UMAP2
11.5,2,OK,pass,OK,2.29,2.09,0,2.84,Plate 2 F8,Plate 2 F8,T4,6,0.971075015254698,7.15,8.7,0,10.02,21.715163738612272,-0.21980295627536042,0.43199448260935175,3.852177658639878,2.6922832160445536,0.7274274569301102
11.5,2,OK,pass,OK,0,1.15,0.48,3.2,Plate 2 F9,Plate 2 F9,T4,6,0.989418375219031,9.46,1.6,1.01,2.6,-37.41126337520476,-6.793135164466465,2.026576685835381,-5.7760875460706105,-3.4168789953735983,-0.6602288741322067
11.5,2,OK,pass,OK,2.69,1.95,1.85,2.08,Plate 2 F10,Plate 2 F10,T4,6,1.3374686338193902,6.48,6.08,7.34,9.41,33.811903818077546,-0.8322289135934302,-0.4534215488250787,7.8034573151631195,4.318260255381712,1.3497099619655106
11.5,2,OK,pass,OK,2.46,2.12,1.81,2.37,Plate 2 F11,Plate 2 F11,T4,6,0.2389688323064331,0,7.9,7.93,5.56,24.9138934291367,-10.639911064350645,-3.8862083559200196,7.847254847079041,3.96942621760095,-0.020502354547550894
11.5,2,OK,pass,OK,2.63,2.06,1.4,2.44,Plate 2 F12,Plate 2 F12,T4,6,0.4663822949967802,7.26,7.83,0,7.91,32.04988989986589,-3.6337470624267043,-1.9324800155094883,7.72565266144403,4.514317575022825,0.48716709430498817
11.5,2,OK,pass,OK,1.66,1.32,1.15,3.36,Plate 2 G1,Plate 2 G1,G4,6,0.3546443063672278,9.11,8.02,6.64,8.52,-6.7472743899874965,6.732048107948349,-0.5447175422720307,-0.7825045271454566,-1.2703770966080343,-0.44345405285077355
11.5,2,OK,pass,OK,2.11,1.43,0,2.73,Plate 2 G2,Plate 2 G2,G4,6,0.3009853554216484,8.59,2.93,0,10.46,6.888774794693737,9.890176477383173,0.7520813381263494,2.709058268292981,2.5481672912093485,0.7056548338679764
11.5,2,OK,pass,OK,2.72,2.18,0,2.67,Plate 2 G3,Plate 2 G3,G4,6,0.3901267781743114,2.62,9.1,0,9.21,25.342617257313353,-3.1822400719253396,-2.9087618180590513,8.600780929161955,4.083751740977415,0.3134500723628495
11.5,2,OK,pass,OK,1.32,1.18,1.04,3.28,Plate 2 G4,Plate 2 G4,G4,6,0.33437054117429016,6.24,0,0,8.34,-27.264049739360196,-3.0417516379026734,1.5425323199031875,-4.15642852558258,-2.8728010029343283,-0.21339442913251183
11.5,2,OK,pass,OK,1.82,1.32,1,3.12,Plate 2 G5,Plate 2 G5,G4,6,0.4442999024751733,8.28,1.7,0,3.62,-13.065007306661078,-15.14635115128028,-0.732036260747537,-2.259509842449469,-1.3651582569626486,-0.245653058931401
11.5,2,OK,pass,OK,0,1.15,1.3,3.16,Plate 2 G6,Plate 2 G6,G4,6,0.33839372216474634,8.63,1.98,1.98,3.68,-43.067603173909035,-7.225174071736751,1.9343132333301383,-7.0447853691198565,-3.678303626253954,-0.11794295494275353
11.5,2,OK,pass,OK,0,1.32,1.61,3.34,Plate 2 G7,Plate 2 G7,G4,6,0.5092390951888367,8.66,0,1.57,2.78,-43.19412732163447,-0.8799079264139616,0.655372903814336,-7.5868042555674355,-4.006129530146471,-0.8761306065769698
11.5,2,OK,pass,OK,2.15,1.83,0,3.04,Plate 2 G8,Plate 2 G8,G4,6,0.8208010867344981,6.41,7.08,0,6.09,1.5913069338448744,-5.318555490526264,-0.807515842423533,1.5580163664443705,2.6471520095321024,0.27557370479387977
11.5,2,OK,pass,OK,1,1.04,0.95,2.97,Plate 2 G9,Plate 2 G9,G4,6,0.9541569077488672,7.97,2.38,0,2.38,-35.94681119678702,-5.725265188482845,1.4403569851921918,-5.228623243817265,-2.9908640951660788,-0.06442680542187951
11.5,2,OK,pass,OK,1.99,1.82,1.11,2.81,Plate 2 G10,Plate 2 G10,G4,6,1.2252660850530477,8.13,7.05,0,8.06,8.495519995383455,4.379870709660748,-1.4084324878374366,3.754471575450517,2.967588010356077,0.307685826375911
11.5,2,OK,pass,OK,1.79,1.38,0.3,3.39,Plate 2 G11,Plate 2 G11,G4,6,0.16293883011347415,8.21,7.48,0,6.54,-17.145241321172428,1.5335712807365318,1.3703962095938977,-2.6239368087691233,-2.198787984326235,-0.0757788676472213
11.5,2,OK,pass,OK,1.2,1.28,0.9,2.9,Plate 2 H1,Plate 2 H1,NP68,6,0.3273525259039429,9.26,0,2.02,4.67,-46.29259003280565,-9.25544503065152,0.27961953207267864,-7.339057290304263,-3.6897788018730795,-0.7466753977985885
11.5,2,OK,pass,OK,1.34,0.95,1.57,3.13,Plate 2 H2,Plate 2 H2,NP68,6,0.23941535127286265,7.8,0,0,3.23,-42.97118734196727,-2.155780961305404,-0.00663443428130966,-7.678947028496603,-3.9298778743294394,-0.8130027312489059
