cell_type,gene,count
CD56bright-liver,ABCB1,2367
CD56bright-liver,ABL1,329
CD56bright-liver,ADA,375
CD56bright-liver,AHR,533
CD56bright-liver,AIRE,13
CD56bright-liver,APP,104
CD56bright-liver,ARHGDIB,4046
CD56bright-liver,ATG16L1,529
CD56bright-liver,ATM,25
CD56bright-liver,BATF,71
CD56bright-liver,BATF3,4
CD56bright-liver,BCL2,138
CD56bright-liver,BCL3,433
CD56bright-liver,BCL6,1438
CD56bright-liver,BID,154
CD56bright-liver,BLNK,4
CD56bright-liver,BST1,8
CD56bright-liver,BST2,1413
CD56bright-liver,BTK,4
CD56bright-liver,C1QA,4
CD56bright-liver,C1QB,4
CD56bright-liver,C1QBP,346
CD56bright-liver,C1R,58
CD56bright-liver,C1S,13
CD56bright-liver,C2,4
CD56bright-liver,C3,13
CD56bright-liver,C4A,38
CD56bright-liver,C4B,29
CD56bright-liver,C5,13
CD56bright-liver,C7,13
CD56bright-liver,C8G,25
CD56bright-liver,C9,4
CD56bright-liver,CAMP,4
CD56bright-liver,CARD9,8
CD56bright-liver,CASP1,229
CD56bright-liver,CASP10,21
CD56bright-liver,CASP2,525
CD56bright-liver,CASP3,546
CD56bright-liver,CASP8,1429
CD56bright-liver,CCBP2,25
CD56bright-liver,CCL13,13
CD56bright-liver,CCL16,8
CD56bright-liver,CCL18,4
CD56bright-liver,CCL19,4
CD56bright-liver,CCL2,17
CD56bright-liver,CCL20,4
CD56bright-liver,CCL22,104
CD56bright-liver,CCL23,13
CD56bright-liver,CCL24,17
CD56bright-liver,CCL26,4
CD56bright-liver,CCL3,2646
CD56bright-liver,CCL4,6796
CD56bright-liver,CCL5,5354
CD56bright-liver,CCL7,4
CD56bright-liver,CCL8,8
CD56bright-liver,CCR10,17
CD56bright-liver,CCR5,267
CD56bright-liver,CCR6,21
CD56bright-liver,CCR7,54
CD56bright-liver,CCR8,8
CD56bright-liver,CCRL2,4
CD56bright-liver,CD14,17
CD56bright-liver,CD19,4
CD56bright-liver,CD209,8
CD56bright-liver,CD22,17
CD56bright-liver,CD24,158
CD56bright-liver,CD244,867
CD56bright-liver,CD247,4975
CD56bright-liver,CD27,400
CD56bright-liver,CD274,33
CD56bright-liver,CD28,138
CD56bright-liver,CD36,8
CD56bright-liver,CD3D,213
CD56bright-liver,CD3E,2088
CD56bright-liver,CD3EAP,50
CD56bright-liver,CD4,4
CD56bright-liver,CD40,29
CD56bright-liver,CD40LG,21
CD56bright-liver,CD44,1021
CD56bright-liver,CD46,1217
CD56bright-liver,CD5,54
CD56bright-liver,CD53,1104
CD56bright-liver,CD55,29
CD56bright-liver,CD58,629
CD56bright-liver,CD59,417
CD56bright-liver,CD6,383
CD56bright-liver,CD7,3038
CD56bright-liver,CD74,3654
CD56bright-liver,CD79A,8
CD56bright-liver,CD80,8
CD56bright-liver,CD81,2934
CD56bright-liver,CD82,67
CD56bright-liver,CD83,208
CD56bright-liver,CD86,4
CD56bright-liver,CD8A,438
CD56bright-liver,CD8B,17
CD56bright-liver,CD9,46
CD56bright-liver,CD96,4154
CD56bright-liver,CD97,3321
CD56bright-liver,CDH5,4
CD56bright-liver,CDKN1A,75
CD56bright-liver,CEACAM1,4
CD56bright-liver,CEBPB,158
CD56bright-liver,CFB,4
CD56bright-liver,CFD,4
CD56bright-liver,CFH,17
CD56bright-liver,CFP,4
CD56bright-liver,CIITA,29
CD56bright-liver,CISH,17
CD56bright-liver,CLEC4A,42
CD56bright-liver,CLEC4E,8
CD56bright-liver,CLEC5A,17
CD56bright-liver,CLU,13
CD56bright-liver,CMKLR1,4
CD56bright-liver,CR1,4
CD56bright-liver,CR2,8
CD56bright-liver,CRADD,117
CD56bright-liver,CSF1,33
CD56bright-liver,CSF1R,4
CD56bright-liver,CSF2,25
CD56bright-liver,CSF2RB,8
CD56bright-liver,CSF3R,4
CD56bright-liver,CTLA4,8
CD56bright-liver,CTSC,1542
CD56bright-liver,CUL9,650
CD56bright-liver,CX3CR1,8
CD56bright-liver,CXCL1,25
CD56bright-liver,CXCL10,13
CD56bright-liver,CXCL11,8
CD56bright-liver,CXCL2,17
CD56bright-liver,CXCR1,4
CD56bright-liver,CXCR2,17
CD56bright-liver,CXCR3,504
CD56bright-liver,CXCR4,6530
CD56bright-liver,CXCR6,3117
CD56bright-liver,CYBB,4
CD56bright-liver,DEFB1,4
CD56bright-liver,DPP4,4
CD56bright-liver,EBI3,8
CD56bright-liver,ENTPD1,25
CD56bright-liver,ETS1,8000
CD56bright-liver,FADD,13
CD56bright-liver,FAS,83
CD56bright-liver,FCAR,4
CD56bright-liver,FCER1A,4
CD56bright-liver,FCER1G,3059
CD56bright-liver,FCGR1A,13
CD56bright-liver,FCGR2A,4
CD56bright-liver,FCGR2B,29
CD56bright-liver,FCGR2C,8
CD56bright-liver,FCGR3A,63
CD56bright-liver,FCGRT,179
CD56bright-liver,FKBP5,183
CD56bright-liver,FN1,4
CD56bright-liver,FOXP3,8
CD56bright-liver,FYN,5184
CD56bright-liver,GATA3,117
CD56bright-liver,GFI1,388
CD56bright-liver,GNLY,4834
CD56bright-liver,GZMA,3225
CD56bright-liver,GZMB,292
CD56bright-liver,HAMP,4
CD56bright-liver,HFE,4
CD56bright-liver,HLA-C,19214
CD56bright-liver,HLA-DMB,525
CD56bright-liver,HLA-DOB,167
CD56bright-liver,HLA-DPA1,750
CD56bright-liver,HLA-DPB1,675
CD56bright-liver,HLA-DQA1,75
CD56bright-liver,HLA-DQB1,13
CD56bright-liver,HLA-DRA,621
CD56bright-liver,HLA-DRB1,946
CD56bright-liver,HLA-DRB3,383
CD56bright-liver,ICAM1,188
CD56bright-liver,ICAM2,417
CD56bright-liver,ICAM3,1004
CD56bright-liver,ICAM4,33
CD56bright-liver,ICAM5,17
CD56bright-liver,ICOS,17
CD56bright-liver,ICOSLG,29
CD56bright-liver,IFI16,1300
CD56bright-liver,IFI35,104
CD56bright-liver,IFIH1,129
CD56bright-liver,IFIT2,25
CD56bright-liver,IFITM1,3725
CD56bright-liver,IFNAR1,146
CD56bright-liver,IFNAR2,1708
CD56bright-liver,IFNB1,4
CD56bright-liver,IFNG,17
CD56bright-liver,IFNGR1,704
CD56bright-liver,IGF2R,108
CD56bright-liver,IKBKB,188
CD56bright-liver,IKBKE,171
CD56bright-liver,IKBKG,608
CD56bright-liver,IKZF1,392
CD56bright-liver,IKZF2,1492
CD56bright-liver,IKZF3,1088
CD56bright-liver,IL10,4
CD56bright-liver,IL10RA,1404
CD56bright-liver,IL11RA,225
CD56bright-liver,IL12A,42
CD56bright-liver,IL12B,4
CD56bright-liver,IL12RB1,192
CD56bright-liver,IL13,4
CD56bright-liver,IL13RA1,4
CD56bright-liver,IL15,21
CD56bright-liver,IL16,2604
CD56bright-liver,IL17A,8
CD56bright-liver,IL17F,4
CD56bright-liver,IL18,88
CD56bright-liver,IL18R1,796
CD56bright-liver,IL18RAP,967
CD56bright-liver,IL1A,4
CD56bright-liver,IL1B,42
CD56bright-liver,IL1R1,4
CD56bright-liver,IL1R2,21
CD56bright-liver,IL1RAP,33
CD56bright-liver,IL1RL1,4
CD56bright-liver,IL1RL2,13
CD56bright-liver,IL1RN,17
CD56bright-liver,IL2,4
CD56bright-liver,IL20,8
CD56bright-liver,IL21,4
CD56bright-liver,IL21R,58
CD56bright-liver,IL22,4
CD56bright-liver,IL23A,4
CD56bright-liver,IL23R,283
CD56bright-liver,IL26,75
CD56bright-liver,IL28B,21
CD56bright-liver,IL29,13
CD56bright-liver,IL2RA,42
CD56bright-liver,IL2RB,4117
CD56bright-liver,IL2RG,2213
CD56bright-liver,IL3,4
CD56bright-liver,IL32,23043
CD56bright-liver,IL4,4
CD56bright-liver,IL4R,329
CD56bright-liver,IL5,4
CD56bright-liver,IL6,4
CD56bright-liver,IL6R,4
CD56bright-liver,IL6ST,267
CD56bright-liver,IL7R,458
CD56bright-liver,IL8,117
CD56bright-liver,IL9,4
CD56bright-liver,IRAK2,213
CD56bright-liver,IRAK3,13
CD56bright-liver,IRAK4,450
CD56bright-liver,IRF1,1117
CD56bright-liver,IRF3,2058
CD56bright-liver,IRF4,283
CD56bright-liver,IRF5,29
CD56bright-liver,IRF7,596
CD56bright-liver,IRF8,329
CD56bright-liver,IRGM,54
CD56bright-liver,ITGA2B,13
CD56bright-liver,ITGA4,1321
CD56bright-liver,ITGA5,146
CD56bright-liver,ITGA6,179
CD56bright-liver,ITGAL,2700
CD56bright-liver,ITGAM,233
CD56bright-liver,ITGAX,154
CD56bright-liver,ITGB1,1592
CD56bright-liver,ITGB2,1329
CD56bright-liver,JAK1,4229
CD56bright-liver,JAK2,1096
CD56bright-liver,JAK3,463
CD56bright-liver,KIR2DL1,4
CD56bright-liver,KIR2DL2,4
CD56bright-liver,KIR2DL3,258
CD56bright-liver,KIR2DL5A,63
CD56bright-liver,KIR2DS1,8
CD56bright-liver,KIR2DS2,8
CD56bright-liver,KIR2DS3,13
CD56bright-liver,KIR2DS4,17
CD56bright-liver,KIR2DS5,17
CD56bright-liver,KIR3DL1,463
CD56bright-liver,KIR3DL2,221
CD56bright-liver,KIR3DL3,4
CD56bright-liver,KIR3DS1,25
CD56bright-liver,KIT,88
CD56bright-liver,KLRB1,9755
CD56bright-liver,KLRC1,963
CD56bright-liver,KLRD1,3813
CD56bright-liver,LAIR1,96
CD56bright-liver,LCK,1946
CD56bright-liver,LCP2,1958
CD56bright-liver,LEF1,88
CD56bright-liver,LIF,71
CD56bright-liver,LILRA1,8
CD56bright-liver,LILRA2,4
CD56bright-liver,LILRA3,25
CD56bright-liver,LILRA5,8
CD56bright-liver,LILRA6,8
CD56bright-liver,LILRB1,17
CD56bright-liver,LILRB2,17
CD56bright-liver,LILRB3,4
CD56bright-liver,LILRB4,4
CD56bright-liver,LILRB5,4
CD56bright-liver,LITAF,800
CD56bright-liver,LTA,75
CD56bright-liver,LTB4R,138
CD56bright-liver,LTB4R2,142
CD56bright-liver,LTBR,33
CD56bright-liver,LY96,4
CD56bright-liver,MAF,117
CD56bright-liver,MAP4K1,608
CD56bright-liver,MAP4K2,375
CD56bright-liver,MAP4K4,338
CD56bright-liver,MAPK1,1783
CD56bright-liver,MAPK11,58
CD56bright-liver,MAPK14,758
CD56bright-liver,MAPKAPK2,875
CD56bright-liver,MBP,129
CD56bright-liver,MR1,88
CD56bright-liver,MS4A1,104
CD56bright-liver,MSR1,13
CD56bright-liver,MUC1,25
CD56bright-liver,MX1,342
CD56bright-liver,MYD88,588
CD56bright-liver,NCAM1,371
CD56bright-liver,NCF4,25
CD56bright-liver,NCR1,2934
CD56bright-liver,NFATC1,71
CD56bright-liver,NFATC2,1483
CD56bright-liver,NFATC3,1067
CD56bright-liver,NFIL3,104
CD56bright-liver,NFKB1,304
CD56bright-liver,NFKBIA,1654
CD56bright-liver,NFKBIZ,242
CD56bright-liver,NOD2,21
CD56bright-liver,NOS2,8
CD56bright-liver,NOTCH1,396
CD56bright-liver,NOTCH2,342
CD56bright-liver,PAX5,4
CD56bright-liver,PDCD1,13
CD56bright-liver,PDCD1LG2,4
CD56bright-liver,PDGFB,4
CD56bright-liver,PDGFRB,4
CD56bright-liver,PLAU,4
CD56bright-liver,PLAUR,8
CD56bright-liver,PML,113
CD56bright-liver,POU2F2,129
CD56bright-liver,PPARG,17
CD56bright-liver,PPBP,13
CD56bright-liver,PRDM1,263
CD56bright-liver,PRF1,6809
CD56bright-liver,PRKCD,154
CD56bright-liver,PSMB10,925
CD56bright-liver,PSMB5,4
CD56bright-liver,PSMB9,1375
CD56bright-liver,PSMC2,413
CD56bright-liver,PSMD7,538
CD56bright-liver,PTAFR,21
CD56bright-liver,PTGER4,375
CD56bright-liver,PTGS2,13
CD56bright-liver,PTK2,108
CD56bright-liver,PTPN2,1171
CD56bright-liver,PTPN22,2633
CD56bright-liver,PTPN6,592
CD56bright-liver,PTPRC,7605
CD56bright-liver,RAG1,8
CD56bright-liver,RAG2,21
CD56bright-liver,RARRES3,1496
CD56bright-liver,RORC,4
CD56bright-liver,RUNX1,392
CD56bright-liver,SELL,183
CD56bright-liver,SELPLG,46
CD56bright-liver,SERPING1,4
CD56bright-liver,SH2D1A,2425
CD56bright-liver,SIGIRR,1421
CD56bright-liver,SKI,367
CD56bright-liver,SLAMF1,13
CD56bright-liver,SLAMF7,3309
CD56bright-liver,SMAD3,1404
CD56bright-liver,SMAD5,358
CD56bright-liver,SOCS1,488
CD56bright-liver,SOCS3,38
CD56bright-liver,SPP1,21
CD56bright-liver,SRC,13
CD56bright-liver,STAT1,325
CD56bright-liver,STAT2,738
CD56bright-liver,STAT4,1425
CD56bright-liver,STAT5A,417
CD56bright-liver,STAT5B,938
CD56bright-liver,SYK,654
CD56bright-liver,TAGAP,2388
CD56bright-liver,TAL1,4
CD56bright-liver,TAP1,317
CD56bright-liver,TAP2,192
CD56bright-liver,TAPBP,2208
CD56bright-liver,TBK1,304
CD56bright-liver,TBX21,758
CD56bright-liver,TCF4,8
CD56bright-liver,TCF7,2688
CD56bright-liver,TFRC,242
CD56bright-liver,TGFB1,3946
CD56bright-liver,TGFBI,38
CD56bright-liver,TGFBR1,467
CD56bright-liver,TGFBR2,1146
CD56bright-liver,TIGIT,1238
CD56bright-liver,TIRAP,58
CD56bright-liver,TLR1,750
CD56bright-liver,TLR2,13
CD56bright-liver,TLR3,17
CD56bright-liver,TLR4,4
CD56bright-liver,TLR5,4
CD56bright-liver,TLR7,4
CD56bright-liver,TLR8,4
CD56bright-liver,TLR9,21
CD56bright-liver,TMEM173,58
CD56bright-liver,TNF,175
CD56bright-liver,TNFAIP3,1854
CD56bright-liver,TNFAIP6,13
CD56bright-liver,TNFRSF10C,13
CD56bright-liver,TNFRSF11A,50
CD56bright-liver,TNFRSF13B,4
CD56bright-liver,TNFRSF13C,25
CD56bright-liver,TNFRSF14,458
CD56bright-liver,TNFRSF17,4
CD56bright-liver,TNFRSF1B,325
CD56bright-liver,TNFRSF4,8
CD56bright-liver,TNFRSF8,21
CD56bright-liver,TNFRSF9,138
CD56bright-liver,TNFSF10,517
CD56bright-liver,TNFSF11,25
CD56bright-liver,TNFSF12,508
CD56bright-liver,TNFSF13B,29
CD56bright-liver,TNFSF15,8
CD56bright-liver,TNFSF8,4
CD56bright-liver,TOLLIP,325
CD56bright-liver,TRAF1,425
CD56bright-liver,TRAF4,83
CD56bright-liver,TRAF5,404
CD56bright-liver,TYK2,621
CD56bright-liver,VCAM1,50
CD56bright-liver,VTN,13
CD56bright-liver,XBP1,317
CD56bright-liver,XCL1,208
CD56bright-liver,XCR1,13
CD56bright-liver,ZAP70,1771
CD56bright-liver,ABCB1,2048
CD56bright-liver,ABL1,344
CD56bright-liver,ADA,293
CD56bright-liver,AHR,534
CD56bright-liver,AIRE,26
CD56bright-liver,APP,69
CD56bright-liver,ARHGDIB,3804
CD56bright-liver,ATG16L1,439
CD56bright-liver,ATM,9
CD56bright-liver,BATF,95
CD56bright-liver,BATF3,52
CD56bright-liver,BCL2,69
CD56bright-liver,BCL3,491
CD56bright-liver,BCL6,1076
CD56bright-liver,BID,95
CD56bright-liver,BLNK,9
CD56bright-liver,BST1,26
CD56bright-liver,BST2,1446
CD56bright-liver,BTK,9
CD56bright-liver,C1QA,9
CD56bright-liver,C1QB,26
CD56bright-liver,C1QBP,250
CD56bright-liver,C1R,95
CD56bright-liver,C1S,9
CD56bright-liver,C2,34
CD56bright-liver,C3,17
CD56bright-liver,C4A,34
CD56bright-liver,C4B,60
CD56bright-liver,C5,9
CD56bright-liver,C7,26
CD56bright-liver,C8G,26
CD56bright-liver,C9,69
CD56bright-liver,CAMP,9
CD56bright-liver,CARD9,9
CD56bright-liver,CASP1,232
CD56bright-liver,CASP10,138
CD56bright-liver,CASP2,353
CD56bright-liver,CASP3,473
CD56bright-liver,CASP8,1256
CD56bright-liver,CCBP2,26
CD56bright-liver,CCL13,26
CD56bright-liver,CCL16,26
CD56bright-liver,CCL18,26
CD56bright-liver,CCL19,9
CD56bright-liver,CCL2,9
CD56bright-liver,CCL20,9
CD56bright-liver,CCL22,43
CD56bright-liver,CCL23,26
CD56bright-liver,CCL24,155
CD56bright-liver,CCL26,9
CD56bright-liver,CCL3,5362
CD56bright-liver,CCL4,15388
CD56bright-liver,CCL5,5620
CD56bright-liver,CCL7,9
CD56bright-liver,CCL8,43
CD56bright-liver,CCR10,34
CD56bright-liver,CCR5,181
CD56bright-liver,CCR6,26
CD56bright-liver,CCR7,34
CD56bright-liver,CCR8,9
CD56bright-liver,CCRL2,34
CD56bright-liver,CD14,60
CD56bright-liver,CD19,9
CD56bright-liver,CD209,17
CD56bright-liver,CD22,60
CD56bright-liver,CD24,77
CD56bright-liver,CD244,723
CD56bright-liver,CD247,5215
CD56bright-liver,CD27,258
CD56bright-liver,CD274,17
CD56bright-liver,CD28,164
CD56bright-liver,CD36,17
CD56bright-liver,CD3D,491
CD56bright-liver,CD3E,1110
CD56bright-liver,CD3EAP,77
CD56bright-liver,CD4,9
CD56bright-liver,CD40,86
CD56bright-liver,CD40LG,9
CD56bright-liver,CD44,1222
CD56bright-liver,CD46,929
CD56bright-liver,CD5,17
CD56bright-liver,CD53,964
CD56bright-liver,CD55,77
CD56bright-liver,CD58,594
CD56bright-liver,CD59,439
CD56bright-liver,CD6,499
CD56bright-liver,CD7,2556
CD56bright-liver,CD74,3709
CD56bright-liver,CD79A,9
CD56bright-liver,CD80,34
CD56bright-liver,CD81,2513
CD56bright-liver,CD82,120
CD56bright-liver,CD83,215
CD56bright-liver,CD86,17
CD56bright-liver,CD8A,215
CD56bright-liver,CD8B,52
CD56bright-liver,CD9,43
CD56bright-liver,CD96,5327
CD56bright-liver,CD97,4337
CD56bright-liver,CDH5,9
CD56bright-liver,CDKN1A,155
CD56bright-liver,CEACAM1,17
CD56bright-liver,CEBPB,189
CD56bright-liver,CFB,9
CD56bright-liver,CFD,9
CD56bright-liver,CFH,86
CD56bright-liver,CFP,17
CD56bright-liver,CIITA,34
CD56bright-liver,CISH,17
CD56bright-liver,CLEC4A,60
CD56bright-liver,CLEC4E,9
CD56bright-liver,CLEC5A,52
CD56bright-liver,CLU,17
CD56bright-liver,CMKLR1,17
CD56bright-liver,CR1,60
CD56bright-liver,CR2,17
CD56bright-liver,CRADD,60
CD56bright-liver,CSF1,138
CD56bright-liver,CSF1R,17
CD56bright-liver,CSF2,112
CD56bright-liver,CSF2RB,9
CD56bright-liver,CSF3R,9
CD56bright-liver,CTLA4,86
CD56bright-liver,CTSC,1825
CD56bright-liver,CUL9,396
CD56bright-liver,CX3CR1,26
CD56bright-liver,CXCL1,43
CD56bright-liver,CXCL10,17
CD56bright-liver,CXCL11,26
CD56bright-liver,CXCL2,26
CD56bright-liver,CXCR1,9
CD56bright-liver,CXCR2,17
CD56bright-liver,CXCR3,792
CD56bright-liver,CXCR4,3933
CD56bright-liver,CXCR6,2522
CD56bright-liver,CYBB,77
CD56bright-liver,DEFB1,26
CD56bright-liver,DPP4,9
CD56bright-liver,EBI3,9
CD56bright-liver,ENTPD1,60
CD56bright-liver,ETS1,7969
CD56bright-liver,FADD,43
CD56bright-liver,FAS,77
CD56bright-liver,FCAR,26
CD56bright-liver,FCER1A,9
CD56bright-liver,FCER1G,2737
CD56bright-liver,FCGR1A,77
CD56bright-liver,FCGR2A,26
CD56bright-liver,FCGR2B,9
CD56bright-liver,FCGR2C,17
CD56bright-liver,FCGR3A,181
CD56bright-liver,FCGRT,120
CD56bright-liver,FKBP5,224
CD56bright-liver,FN1,9
CD56bright-liver,FOXP3,9
CD56bright-liver,FYN,5146
CD56bright-liver,GATA3,60
CD56bright-liver,GFI1,370
CD56bright-liver,GNLY,921
CD56bright-liver,GZMA,2418
CD56bright-liver,GZMB,164
CD56bright-liver,HAMP,9
CD56bright-liver,HFE,17
CD56bright-liver,HLA-C,16085
CD56bright-liver,HLA-DMB,456
CD56bright-liver,HLA-DOB,69
CD56bright-liver,HLA-DPA1,663
CD56bright-liver,HLA-DPB1,508
CD56bright-liver,HLA-DQA1,129
CD56bright-liver,HLA-DQB1,43
CD56bright-liver,HLA-DRA,396
CD56bright-liver,HLA-DRB1,749
CD56bright-liver,HLA-DRB3,318
CD56bright-liver,ICAM1,267
CD56bright-liver,ICAM2,318
CD56bright-liver,ICAM3,723
CD56bright-liver,ICAM4,86
CD56bright-liver,ICAM5,26
CD56bright-liver,ICOS,17
CD56bright-liver,ICOSLG,17
CD56bright-liver,IFI16,904
CD56bright-liver,IFI35,60
CD56bright-liver,IFIH1,181
CD56bright-liver,IFIT2,129
CD56bright-liver,IFITM1,3511
CD56bright-liver,IFNAR1,172
CD56bright-liver,IFNAR2,1033
CD56bright-liver,IFNB1,52
CD56bright-liver,IFNG,34
CD56bright-liver,IFNGR1,585
CD56bright-liver,IGF2R,155
CD56bright-liver,IKBKB,120
CD56bright-liver,IKBKE,155
CD56bright-liver,IKBKG,602
CD56bright-liver,IKZF1,370
CD56bright-liver,IKZF2,723
CD56bright-liver,IKZF3,1205
CD56bright-liver,IL10,9
CD56bright-liver,IL10RA,775
CD56bright-liver,IL11RA,112
CD56bright-liver,IL12A,34
CD56bright-liver,IL12B,34
CD56bright-liver,IL12RB1,189
CD56bright-liver,IL13,9
CD56bright-liver,IL13RA1,17
CD56bright-liver,IL15,43
CD56bright-liver,IL16,2263
CD56bright-liver,IL17A,9
CD56bright-liver,IL17F,26
CD56bright-liver,IL18,164
CD56bright-liver,IL18R1,456
CD56bright-liver,IL18RAP,637
CD56bright-liver,IL1A,60
CD56bright-liver,IL1B,34
CD56bright-liver,IL1R1,43
CD56bright-liver,IL1R2,60
CD56bright-liver,IL1RAP,52
CD56bright-liver,IL1RL1,9
CD56bright-liver,IL1RL2,17
CD56bright-liver,IL1RN,146
CD56bright-liver,IL2,95
CD56bright-liver,IL20,17
CD56bright-liver,IL21,52
CD56bright-liver,IL21R,52
CD56bright-liver,IL22,9
CD56bright-liver,IL23A,9
CD56bright-liver,IL23R,164
CD56bright-liver,IL26,164
CD56bright-liver,IL28B,34
CD56bright-liver,IL29,9
CD56bright-liver,IL2RA,95
CD56bright-liver,IL2RB,4088
CD56bright-liver,IL2RG,2487
CD56bright-liver,IL3,17
CD56bright-liver,IL32,56714
CD56bright-liver,IL4,9
CD56bright-liver,IL4R,448
CD56bright-liver,IL5,17
CD56bright-liver,IL6,9
CD56bright-liver,IL6R,34
CD56bright-liver,IL6ST,318
CD56bright-liver,IL7R,491
CD56bright-liver,IL8,559
CD56bright-liver,IL9,9
CD56bright-liver,IRAK2,267
CD56bright-liver,IRAK3,26
CD56bright-liver,IRAK4,534
CD56bright-liver,IRF1,1687
CD56bright-liver,IRF3,1618
CD56bright-liver,IRF4,508
CD56bright-liver,IRF5,26
CD56bright-liver,IRF7,757
CD56bright-liver,IRF8,327
CD56bright-liver,IRGM,43
CD56bright-liver,ITGA2B,17
CD56bright-liver,ITGA4,1360
CD56bright-liver,ITGA5,215
CD56bright-liver,ITGA6,86
CD56bright-liver,ITGAL,2160
CD56bright-liver,ITGAM,207
CD56bright-liver,ITGAX,275
CD56bright-liver,ITGB1,1308
CD56bright-liver,ITGB2,749
CD56bright-liver,JAK1,3701
CD56bright-liver,JAK2,904
CD56bright-liver,JAK3,344
CD56bright-liver,KIR2DL1,26
CD56bright-liver,KIR2DL2,9
CD56bright-liver,KIR2DL3,327
CD56bright-liver,KIR2DL5A,164
CD56bright-liver,KIR2DS1,26
CD56bright-liver,KIR2DS2,43
CD56bright-liver,KIR2DS3,26
CD56bright-liver,KIR2DS4,164
CD56bright-liver,KIR2DS5,17
CD56bright-liver,KIR3DL1,628
CD56bright-liver,KIR3DL2,327
CD56bright-liver,KIR3DL3,26
CD56bright-liver,KIR3DS1,43
CD56bright-liver,KIT,198
CD56bright-liver,KLRB1,6937
CD56bright-liver,KLRC1,671
CD56bright-liver,KLRD1,3434
CD56bright-liver,LAIR1,164
CD56bright-liver,LCK,1687
CD56bright-liver,LCP2,2031
CD56bright-liver,LEF1,9
CD56bright-liver,LIF,34
CD56bright-liver,LILRA1,9
CD56bright-liver,LILRA2,26
CD56bright-liver,LILRA3,26
CD56bright-liver,LILRA5,52
CD56bright-liver,LILRA6,43
CD56bright-liver,LILRB1,43
CD56bright-liver,LILRB2,34
CD56bright-liver,LILRB3,9
CD56bright-liver,LILRB4,34
CD56bright-liver,LILRB5,9
CD56bright-liver,LITAF,904
CD56bright-liver,LTA,120
CD56bright-liver,LTB4R,34
CD56bright-liver,LTB4R2,69
CD56bright-liver,LTBR,52
CD56bright-liver,LY96,9
CD56bright-liver,MAF,86
CD56bright-liver,MAP4K1,516
CD56bright-liver,MAP4K2,310
CD56bright-liver,MAP4K4,275
CD56bright-liver,MAPK1,1446
CD56bright-liver,MAPK11,60
CD56bright-liver,MAPK14,628
CD56bright-liver,MAPKAPK2,792
CD56bright-liver,MBP,241
CD56bright-liver,MR1,86
CD56bright-liver,MS4A1,34
CD56bright-liver,MSR1,34
CD56bright-liver,MUC1,103
CD56bright-liver,MX1,602
CD56bright-liver,MYD88,534
CD56bright-liver,NCAM1,379
CD56bright-liver,NCF4,60
CD56bright-liver,NCR1,2057
CD56bright-liver,NFATC1,120
CD56bright-liver,NFATC2,1437
CD56bright-liver,NFATC3,766
CD56bright-liver,NFIL3,155
CD56bright-liver,NFKB1,361
CD56bright-liver,NFKBIA,2616
CD56bright-liver,NFKBIZ,353
CD56bright-liver,NOD2,26
CD56bright-liver,NOS2,34
CD56bright-liver,NOTCH1,499
CD56bright-liver,NOTCH2,293
CD56bright-liver,PAX5,34
CD56bright-liver,PDCD1,9
CD56bright-liver,PDCD1LG2,9
CD56bright-liver,PDGFB,17
CD56bright-liver,PDGFRB,9
CD56bright-liver,PLAU,52
CD56bright-liver,PLAUR,17
CD56bright-liver,PML,77
CD56bright-liver,POU2F2,164
CD56bright-liver,PPARG,26
CD56bright-liver,PPBP,9
CD56bright-liver,PRDM1,275
CD56bright-liver,PRF1,3417
CD56bright-liver,PRKCD,129
CD56bright-liver,PSMB10,981
CD56bright-liver,PSMB5,9
CD56bright-liver,PSMB9,1239
CD56bright-liver,PSMC2,482
CD56bright-liver,PSMD7,800
CD56bright-liver,PTAFR,34
CD56bright-liver,PTGER4,637
CD56bright-liver,PTGS2,26
CD56bright-liver,PTK2,112
CD56bright-liver,PTPN2,981
CD56bright-liver,PTPN22,2470
CD56bright-liver,PTPN6,843
CD56bright-liver,PTPRC,7048
CD56bright-liver,RAG1,52
CD56bright-liver,RAG2,34
CD56bright-liver,RARRES3,1377
CD56bright-liver,RORC,43
CD56bright-liver,RUNX1,387
CD56bright-liver,SELL,138
CD56bright-liver,SELPLG,34
CD56bright-liver,SERPING1,9
CD56bright-liver,SH2D1A,1773
CD56bright-liver,SIGIRR,1222
CD56bright-liver,SKI,645
CD56bright-liver,SLAMF1,9
CD56bright-liver,SLAMF7,2590
CD56bright-liver,SMAD3,1136
CD56bright-liver,SMAD5,327
CD56bright-liver,SOCS1,611
CD56bright-liver,SOCS3,34
CD56bright-liver,SPP1,26
CD56bright-liver,SRC,52
CD56bright-liver,STAT1,611
CD56bright-liver,STAT2,654
CD56bright-liver,STAT4,1480
CD56bright-liver,STAT5A,224
CD56bright-liver,STAT5B,886
CD56bright-liver,SYK,456
CD56bright-liver,TAGAP,3305
CD56bright-liver,TAL1,26
CD56bright-liver,TAP1,215
CD56bright-liver,TAP2,120
CD56bright-liver,TAPBP,1997
CD56bright-liver,TBK1,232
CD56bright-liver,TBX21,663
CD56bright-liver,TCF4,9
CD56bright-liver,TCF7,2470
CD56bright-liver,TFRC,336
CD56bright-liver,TGFB1,4518
CD56bright-liver,TGFBI,26
CD56bright-liver,TGFBR1,534
CD56bright-liver,TGFBR2,1205
