age,individual,single.cell.well.quality,post.analysis.well.quality,single.cell.quality,CD69protein,CD25protein,CD44protein,CD62Lprotein,sorting.plate.well,sequencing.plate.well,peptide,time,sizeFactor,Cd69,Il2ra (CD25),Cd44,Sell (CD62L)
25,1,OK,pass,OK,3.29,2.42,0.3,2.73,Plate 3 E7,Plate 3 E7, N4,6,2.6096237206401307,6.48,7.89,0.47,9.78
25,1,OK,pass,OK,3.26,1.59,0,2.33,Plate 3 E8,Plate 3 E8, N4,6,0.9281144783330667,0,8,0,10.26
25,1,OK,pass,OK,3.16,2.31,1.58,2.95,Plate 3 E9,Plate 3 E9, N4,6,3.4998111485822267,6.02,4.27,0.36,6.15
25,1,OK,pass,OK,3.37,2.39,0,1.67,Plate 3 E10,Plate 3 E10, N4,6,1.1239784443549827,0.92,7.86,0,6.06
25,1,OK,pass,OK,3.41,2.31,1.97,2.18,Plate 3 E11,Plate 3 E11, N4,6,2.454005095400547,1.15,6.06,0.86,8.39
25,1,OK,pass,OK,3.12,1.92,1.15,2.45,Plate 3 E12,Plate 3 E12, N4,6,0.3865861984910064,4.44,6.97,0,10.75
25,1,OK,pass,OK,3.37,2.59,2.41,2.23,Plate 3 F2,Plate 3 F2, N4,6,1.5997917611578656,0,8.06,6.42,9.99
25,1,OK,pass,OK,3.18,2.6,2,1.92,Plate 3 F3,Plate 3 F3, N4,6,1.3690271510730019,4.32,2.92,0.79,5.39
25,1,OK,pass,OK,3.38,2.36,1.53,2.22,Plate 3 F4,Plate 3 F4, N4,6,1.039022573126023,3.86,6.83,0,10.16
25,1,OK,pass,OK,3.32,2.46,1.7,2.17,Plate 3 F5,Plate 3 F5, N4,6,2.4480785709370276,6.07,5.74,6.94,9.6
25,1,OK,pass,OK,2.81,2.3,0,2.64,Plate 3 F6,Plate 3 F6, N4,6,1.8311246681090945,0.63,7.09,5.83,6.16
25,1,OK,pass,OK,3.26,2.35,0,2.8,Plate 3 F7,Plate 3 F7, N4,6,1.9140599282576458,0,6.71,0.61,7.42
25,1,OK,pass,OK,2.98,2.26,1.53,1.97,Plate 3 F8,Plate 3 F8, N4,6,4.1056922831012255,0.57,6.34,0,1.56
